"","MIXEDET"
"1983",38.9676411239414
"1984",12.1190312647387
"1985",24.9452141055643
"1986",32.2951159596349
"1987",67.3026099653323
"1988",34.969414471354
"1989",8.53719043651773
"1990",-0.651585406865699
"1991",38.2907258035118
"1992",52.9042246105222
"1993",40.1191324760486
"1994",31.4517328162089
"1995",30.1013912809416
"1996",26.2654224561734
"1997",50.375199767997
"1998",26.6528861903848
"1999",35.5255663684839
"2000",12.8
"2001",18.7
"2002",5.5
"2003",45.6
"2004",9.5
"2005",42.1
"2006",30.3
"2007",62.2
"2008",50.7
"2009",30
"2010",57.6
"2011",18.6
"2012",47.3
"2013",9
"2014",26.6
