"","MIXEDET"
"1983",50.9855430397315
"1984",3.45849311004669
"1985",17.5847628615539
"1986",16.4561323272678
"1987",67.8574636598858
"1988",15.7902225535839
"1989",16.2547837358843
"1990",7.89955981977033
"1991",38.0248091207707
"1992",46.394659546169
"1993",29.2608178590964
"1994",15.8707490748973
"1995",38.9917731385307
"1996",35.0160425255066
"1997",44.9443749600287
"1998",30.6619599570894
"1999",46.6365619911088
"2000",15.9
"2001",18.2
"2002",4
"2003",44.7
"2004",11
"2005",34.5
"2006",28.9
"2007",68.9
"2008",55.4
"2009",30.5
"2010",52.3
"2011",19.6
"2012",46.6
"2013",6.8
"2014",27.9
