"","MIXEDET"
"1983",16.0808484119787
"1984",40.9350468843604
"1985",41.0262772426875
"1986",33.0789385803413
"1987",15.5316154063505
"1988",28.5732828531464
"1989",55.3512607037979
"1990",23.6386324347102
"1991",6.37388444289333
"1992",36.0925690780445
"1993",37.7246199515788
"1994",65.9586827798986
"1995",55.0014489831004
"1996",46.214360279553
"1997",31.6049507806037
"1998",61.7323043466016
"1999",67.2322733889913
"2000",26.8
"2001",32.5
"2002",22.5
"2003",32.2
"2004",31.8
"2005",50.8
"2006",56
"2007",72.7
"2008",65
"2009",37.6
"2010",68.8
"2011",32.9
"2012",34
"2013",37.2
"2014",45.4
