"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,31.68,29.48,70.52,0,0,0,0
1984,16,2.3,12.5,60.21,100,0,3.78,103.78
1985,16,15.39,40.39,75,0,0,0,0
1986,16,32.63,50,75,0,0,0,0
1987,16,69.77,40.84,71.07,0,0,0,0
1988,16,42.06,25,75,0,0,0,0
1989,16,45.49,42.33,75,0,0,0,0
1990,16,11.43,11.43,50,28.58,0,52.38,80.96
1991,16,41.3,18.64,58.13,0,0,13.68,13.68
1992,16,0,4.61,54.61,100,0,30.42,130.42
1993,16,38.85,33.99,75,0,0,0,0
1994,16,47.36,47.36,75,0,0,0,0
1995,16,25,50,75,0,0,0,0
1996,16,75,50,50,0,0,52.38,52.38
1997,16,36.2,39.92,75,0,0,0,0
1998,16,41.33,50,75,0,0,0,0
1999,16,28.38,50,75,0,0,0,0
2000,16,24.8,45.41,72.94,0,0,0,0
2001,16,12.83,24.81,61.98,13.02,0,0,13.02
2002,16,10.1,15.02,58.47,43.34,0,12.05,55.39
2003,16,23.94,38.45,68,0,0,0,0
2004,16,22.84,29.28,55.44,0,0,26.48,26.48
2005,16,25,50,75,0,0,0,0
2006,16,30.83,50,50,0,0,52.38,52.38
2007,16,3.37,25,75,100,0,0,100
2008,16,5.27,26.82,75,96.97,0,0,96.97
2009,16,35.6,50,75,0,0,0,0
2010,16,60.15,35.65,60.65,0,0,1.68,1.68
2011,16,41.48,41.48,75,0,0,0,0
2012,16,25,50,75,0,0,0,0
2013,16,8.05,22.26,64.21,66.09,0,0,66.09
2014,16,6.56,29.26,64.13,82.67,0,0,82.67
2015,16,25,18.61,68.61,0,0,0,0
2016,16,46.37,50,75,0,0,0,0
2017,16,36.16,50,72.31,0,0,0,0
2018,16,41.65,41.65,75,0,0,0,0
2019,16,75,50,75,0,0,0,0
