Time,NDVI
Jul 1981,0.4114516
Jul 1982,0.1872581
Jul 1983,0.1835
Jul 1984,0.5631291
Jul 1985,0.4747581
Jul 1986,0.4755645
Jul 1987,0.4753226
Jul 1988,0.2699355
Jul 1989,0.4932581
Jul 1990,0.4209839
Jul 1991,0.3304839
Jul 1992,0.4415968
Jul 1993,0.4276129
Jul 1994,0.4786129
Jul 1995,0.3927742
Jul 1996,0.4802904
Jul 1997,0.5308871
Jul 1998,0.4278387
Jul 1999,0.3655484
Jul 2000,0.4080806
Jul 2001,0.5798226
Jul 2002,0.5910968
Jul 2003,0.4282742
Jul 2004,0.5746936
Jul 2005,0.3811452
Jul 2006,0.5307258
