"","MIXEDET"
"1983",-17.3974814590585
"1984",5.22404639889145
"1985",29.5779646990483
"1986",8.54490698679473
"1987",8.51663781262635
"1988",10.9723428513308
"1989",2.30038998673765
"1990",-16.2717148191024
"1991",11.6752105670376
"1992",17.2294349306151
"1993",8.76105972658312
"1994",23.6942633580791
"1995",17.819522998764
"1996",31.0938558441652
"1997",9.0244927839386
"1998",65.3638182132538
"1999",48.1507131113055
"2000",8.9
"2001",4.4
"2002",1
"2003",9.8
"2004",1.9
"2005",37.9
"2006",31.4
"2007",62.9
"2008",41
"2009",22
"2010",39.4
"2011",16.9
"2012",8.3
"2013",25.1
"2014",21.7
