"","MIXEDET"
"1983",15.4151956949789
"1984",-28.5986777973034
"1985",-3.0584753607302
"1986",17.1694952816127
"1987",17.5017690619578
"1988",-6.16501539910208
"1989",13.3795129411642
"1990",-1.13851925870486
"1991",12.245449980875
"1992",16.7917460219985
"1993",23.7007872587483
"1994",6.16227489036622
"1995",1.29267206480992
"1996",9.28008190087457
"1997",17.6234640064809
"1998",21.2699452987106
"1999",11.4110244294451
"2000",1.6
"2001",4.7
"2002",0.7
"2003",12.2
"2004",0.6
"2005",16.3
"2006",13.4
"2007",40.8
"2008",14.3
"2009",14.8
"2010",28.4
"2011",6.1
"2012",16.4
"2013",1.3
"2014",13.7
