"Region","District","Period","start","end"
"Tigray","Ahferom","Laelayhahaile","harvesting","2019-11-08","2019-11-20"
"Tigray","Ahferom","Laelayhahaile","land preparation","2019-01-09","2019-06-08"
"Tigray","Ahferom","Laelayhahaile","planting","2019-06-23","2019-07-08"
"Tigray","Ahferom","Laelayhahaile","flowering","2019-08-23","2019-09-13"
"Tigray","Ahferom","Laelayhahaile","tasseling/seed filling","2019-09-27","2019-10-13"
"Tigray","Ahferom","Laelayhahaile","harvesting","2019-10-27","2019-11-13"
"Tigray","Ahferom","Kudo","land preparation","2019-01-08","2019-04-23"
"Tigray","Ahferom","Kudo","planting","2019-04-30","2019-05-20"
"Tigray","Ahferom","Kudo","flowering","2019-08-23","2019-09-13"
"Tigray","Ahferom","Kudo","tasseling/seed filling","2019-09-23","2019-10-13"
"Tigray","Ahferom","Kudo","harvesting","2019-10-27","2019-11-12"
"Tigray","Ahferom","Kudo","land preparation","2019-01-08","2019-06-08"
"Tigray","Ahferom","Kudo","planting","2019-06-05","2019-07-08"
"Tigray","Ahferom","Kudo","flowering","2019-08-24","2019-09-08"
"Tigray","Ahferom","Kudo","tasseling/seed filling","2019-09-25","2019-10-13"
"Tigray","Ahferom","Kudo","harvesting","2019-10-28","2019-11-20"
"Tigray","Ahferom","Endamariam","land preparation","2019-01-09","2019-07-11"
"Tigray","Ahferom","Endamariam","planting","2019-06-26","2019-07-20"
"Tigray","Ahferom","Endamariam","flowering","2019-09-09","2019-09-27"
"Tigray","Ahferom","Endamariam","tasseling/seed filling","2019-09-10","2019-10-15"
"Tigray","Ahferom","Endamariam","harvesting","2019-10-30","2019-11-19"
"Tigray","Ahferom","Endamariam","land preparation","2019-01-09","2019-04-08"
"Tigray","Ahferom","Endamariam","planting","2019-05-14","2019-05-28"
"Tigray","Ahferom","Endamariam","flowering","2019-08-24","2019-09-08"
"Tigray","Ahferom","Endamariam","tasseling/seed filling","2019-10-22","2019-11-12"
