"Region","District","Period","start","end"
"Tigray","Tanqua-Abergele","Negedebrhan","harvesting","2019-11-03","2019-11-22"
"Tigray","Tanqua-Abergele","Grwre","land preparation","2019-01-02","2019-02-07"
"Tigray","Tanqua-Abergele","Grwre","planting","2019-05-09","2020-01-27"
"Tigray","Tanqua-Abergele","Grwre","flowering","2019-08-21","2019-09-21"
"Tigray","Tanqua-Abergele","Grwre","tasseling/seed filling","2019-09-22","2019-09-28"
"Tigray","Tanqua-Abergele","Grwre","harvesting","2019-11-11","2019-12-10"
"Tigray","Tanqua-Abergele","Limat","land preparation","2019-01-10","2019-04-08"
"Tigray","Tanqua-Abergele","Limat","planting","2019-05-09","2019-05-29"
"Tigray","Tanqua-Abergele","Limat","flowering","2019-07-07","2019-08-13"
"Tigray","Tanqua-Abergele","Limat","tasseling/seed filling","2019-08-14","2019-08-22"
"Tigray","Tanqua-Abergele","Limat","harvesting","2019-10-11","2019-11-22"
"Tigray","Naeder-Adet","Jira","land preparation","2019-04-09","2019-07-03"
"Tigray","Naeder-Adet","Jira","planting","2019-07-06","2019-07-20"
"Tigray","Naeder-Adet","Jira","flowering","2019-09-02","2019-09-16"
"Tigray","Naeder-Adet","Jira","tasseling/seed filling","2019-09-20","2019-10-06"
"Tigray","Naeder-Adet","Jira","harvesting","2019-10-23","2019-11-20"
"Tigray","Naeder-Adet","Adreb","land preparation","2019-01-09","2019-05-08"
"Tigray","Naeder-Adet","Adreb","planting","2019-05-16","2019-05-23"
"Tigray","Naeder-Adet","Adreb","flowering","2019-08-30","2019-09-12"
"Tigray","Naeder-Adet","Adreb","tasseling/seed filling","2019-09-26","2019-10-24"
"Tigray","Naeder-Adet","Adreb","harvesting","2019-11-19","2019-11-29"
"Tigray","Naeder-Adet","Ksad-acki","land preparation","2019-01-09","2019-05-06"
"Tigray","Naeder-Adet","Ksad-acki","planting","2019-05-08","2019-05-22"
"Tigray","Naeder-Adet","Ksad-acki","flowering","2019-08-24","2019-09-12"
"Tigray","Naeder-Adet","Ksad-acki","tasseling/seed filling","2019-09-27","2019-10-30"
"Tigray","Naeder-Adet","Ksad-acki","harvesting","2019-12-16","2020-11-25"
"Tigray","Naeder-Adet","Seka","land preparation","2019-03-24","2019-07-04"
"Tigray","Naeder-Adet","Seka","planting","2019-07-06","2019-07-20"
"Tigray","Naeder-Adet","Seka","flowering","2019-09-04","2019-09-09"
"Tigray","Naeder-Adet","Seka","tasseling/seed filling","2019-09-16","2019-10-11"
"Tigray","Naeder-Adet","Seka","harvesting","2019-10-22","2019-11-08"
"Tigray","Adwa","Lalaylogomti","land preparation","2019-03-13","2019-07-06"
"Tigray","Adwa","Lalaylogomti","planting","2019-07-12","2019-07-20"
"Tigray","Adwa","Lalaylogomti","flowering","2019-09-03","2019-09-16"
"Tigray","Adwa","Lalaylogomti","tasseling/seed filling","2019-09-23","2019-10-10"
"Tigray","Adwa","Lalaylogomti","harvesting","2019-10-24","2019-11-14"
"Tigray","Adwa","Woyenti","land preparation","2019-03-09","2019-06-11"
"Tigray","Adwa","Woyenti","planting","2019-06-24","2019-07-26"
"Tigray","Adwa","Woyenti","flowering","2019-08-28","2019-09-11"
"Tigray","Adwa","Woyenti","tasseling/seed filling","2019-09-16","2019-10-02"
"Tigray","Adwa","Woyenti","harvesting","2019-10-25","2019-11-14"
"Tigray","Naeder-Adet","Adi selam","land preparation","2019-01-09","2019-06-18"
"Tigray","Naeder-Adet","Adi selam","planting","2019-06-25","2019-07-12"
"Tigray","Naeder-Adet","Adi selam","flowering","2019-08-28","2019-09-08"
"Tigray","Naeder-Adet","Adi selam","tasseling/seed filling","2019-09-24","2019-10-08"
"Tigray","Naeder-Adet","Adi selam","harvesting","2019-10-23","2019-11-28"
"Tigray","KolaTembien","Endabano","land preparation","2019-04-16","2019-06-15"
"Tigray","KolaTembien","Endabano","planting","2019-06-03","2019-06-23"
"Tigray","KolaTembien","Endabano","flowering","2019-08-10","2019-09-16"
"Tigray","KolaTembien","Endabano","tasseling/seed filling","2019-08-21","2019-09-21"
"Tigray","KolaTembien","Endabano","harvesting","2019-09-26","2019-10-15"
"Tigray","KolaTembien","Endabano","land preparation","2019-04-15","2019-06-16"
"Tigray","KolaTembien","Endabano","planting","2019-06-01","2019-06-14"
"Tigray","KolaTembien","Endabano","flowering","2019-08-15","2019-09-18"
"Tigray","KolaTembien","Endabano","tasseling/seed filling","2019-08-21","2019-09-22"
"Tigray","KolaTembien","Endabano","harvesting","2019-10-05","2019-11-15"
"Tigray","TanquaAbergele","Lemlem","land preparation","2019-04-30","2019-06-15"
"Tigray","TanquaAbergele","Lemlem","planting","2019-05-31","2019-06-30"
"Tigray","TanquaAbergele","Lemlem","flowering","2019-08-31","2019-09-10"
"Tigray","TanquaAbergele","Lemlem","tasseling/seed filling","2019-10-05","2020-09-15"
"Tigray","TanquaAbergele","Lemlem","harvesting","2019-11-15","2019-11-30"
"Tigray","Alamata","LaelayDayu","land preparation","2019-02-01","2019-06-30"
"Tigray","Alamata","LaelayDayu","planting","2019-06-25","2019-08-21"
"Tigray","Alamata","LaelayDayu","flowering","2019-09-05","2019-09-25"
"Tigray","Alamata","LaelayDayu","tasseling/seed filling","2019-09-12","2019-10-10"
"Tigray","Alamata","LaelayDayu","harvesting","2019-10-24","2019-12-15"
"Tigray","Alamata","LaelayDayu","land preparation","2019-01-21","2019-04-06"
"Tigray","Alamata","LaelayDayu","planting","2019-02-20","2019-05-08"
"Tigray","Alamata","LaelayDayu","flowering","2019-08-31","2019-09-15"
"Tigray","Alamata","LaelayDayu","tasseling/seed filling","2019-09-05","2019-09-30"
"Tigray","Atsbi","RubaFelege","land preparation","2019-03-17","2019-05-25"
"Tigray","Atsbi","RubaFelege","planting","2019-06-08","2019-06-28"
"Tigray","Atsbi","RubaFelege","flowering","2019-08-22","2019-09-08"
"Tigray","Atsbi","RubaFelege","tasseling/seed filling","2019-09-25","2019-10-12"
"Tigray","Atsbi","RubaFelege","harvesting","2019-11-20","2019-12-15"
"Tigray","RayaAzebo","Mechare","land preparation","2019-03-22","2019-07-15"
"Tigray","RayaAzebo","Mechare","planting","2019-07-15","2019-07-27"
"Tigray","RayaAzebo","Mechare","flowering","2019-09-15","2019-10-07"
"Tigray","RayaAzebo","Mechare","tasseling/seed filling","2019-10-23","2019-12-15"
"Tigray","RayaAzebo","Mechare","harvesting","2019-11-20","2019-12-30"
"Tigray","KolaTembien","GetskiMilesiley","land preparation","2019-01-01","2019-04-30"
"Tigray","KolaTembien","GetskiMilesiley","planting","2019-05-01","2019-05-16"
"Tigray","KolaTembien","GetskiMilesiley","tasseling/seed filling","2019-08-09","2019-09-16"
"Tigray","KolaTembien","GetskiMilesiley","harvesting","2019-10-01","2019-11-01"
"Tigray","WiereLahe","Endagahamus","land preparation","2019-03-01","2019-06-10"
"Tigray","WiereLahe","Endagahamus","planting","2019-06-25","2019-07-15"
"Tigray","WiereLahe","Endagahamus","flowering","2019-08-10","2019-09-05"
"Tigray","WiereLahe","Endagahamus","tasseling/seed filling","2019-08-15","2019-09-10"
"Tigray","WiereLahe","Endagahamus","harvesting","2019-10-08","2019-11-10"
"Tigray","WiereLahe","AdisAlem","land preparation","2019-02-15","2019-06-25"
"Tigray","WiereLahe","AdisAlem","planting","2019-07-03","2019-07-28"
"Tigray","WiereLahe","AdisAlem","flowering","2019-08-21","2019-08-30"
"Tigray","WiereLahe","AdisAlem","tasseling/seed filling","2019-08-26","2019-09-10"
"Tigray","WiereLahe","AdisAlem","harvesting","2019-09-28","2019-12-06"
"Tigray","Ganta-afeshum","Wuhdet","land preparation","2019-03-10","2019-06-07"
"Tigray","Ganta-afeshum","Wuhdet","planting","2019-06-24","2019-07-17"
"Tigray","Ganta-afeshum","Wuhdet","flowering","2019-09-05","2019-09-21"
"Tigray","Ganta-afeshum","Wuhdet","tasseling/seed filling","2019-10-01","2019-10-11"
"Tigray","Ganta-afeshum","Wuhdet","harvesting","2019-10-29","2019-11-10"
"Tigray","Ganta-afeshum","Wuhdet","land preparation","2019-01-14","2019-06-07"
"Tigray","Ganta-afeshum","Wuhdet","planting","2019-06-22","2019-06-28"
"Tigray","Ganta-afeshum","Wuhdet","flowering","2019-08-22","2019-09-05"
"Tigray","Ganta-afeshum","Wuhdet","tasseling/seed filling","2019-09-15","2019-09-30"
"Tigray","Ganta-afeshum","Wuhdet","harvesting","2019-10-21","2019-11-10"
"Tigray","Ganta-afeshum","Wuhdet","land preparation","2019-03-10","2019-05-08"
"Tigray","Ganta-afeshum","Wuhdet","planting","2019-05-09","2019-06-17"
"Tigray","Ganta-afeshum","Wuhdet","flowering","2019-08-22","2019-09-26"
"Tigray","Ganta-afeshum","Wuhdet","tasseling/seed filling","2019-10-11","2019-10-21"
"Tigray","Ganta-afeshum","Wuhdet","harvesting","2019-10-26","2019-11-10"
"Amhara","Libo Kemkem","Agid","land preparation","2019-03-10","2019-07-07"
"Amhara","Libo Kemkem","Agid","planting","2019-07-08","2019-08-06"
"Amhara","Libo Kemkem","Agid","flowering","2019-09-12","2019-09-26"
"Amhara","Libo Kemkem","Agid","tasseling/seed filling","2019-09-27","2019-10-31"
"Amhara","Libo Kemkem","Agid","harvesting","2019-11-10","2019-12-09"
"Amhara","Libo Kemkem","Agid","land preparation","2019-03-10","2019-05-09"
"Amhara","Libo Kemkem","Agid","planting","2019-05-09","2019-06-01"
"Amhara","Libo Kemkem","Agid","flowering","2019-08-18","2019-08-24"
"Amhara","Libo Kemkem","Agid","tasseling/seed filling","2019-09-06","2019-09-26"
"Amhara","Libo Kemkem","Agid","harvesting","2019-10-26","2019-11-09"
"Amhara","Libo Kemkem","Birkutea","land preparation","2019-04-15","2019-11-13"
"Amhara","Libo Kemkem","Birkutea","planting","2019-11-13","2019-12-13"
"Amhara","Libo Kemkem","Birkutea","flowering","2019-01-15","2019-11-13"
"Amhara","Libo Kemkem","Birkutea","tasseling/seed filling","2019-11-13","2019-11-13"
"Amhara","Libo Kemkem","Birkutea","harvesting","2019-11-13","2019-11-13"
"Amhara","Libo Kemkem","Birkutea","land preparation","2019-11-13","2019-11-13"
"Amhara","Libo Kemkem","Birkutea","planting","2019-11-13","2019-11-13"
"Amhara","Libo Kemkem","Birkutea","flowering","2019-11-13","2019-11-13"
"Amhara","Libo Kemkem","Birkutea","tasseling/seed filling","2019-11-13","2019-11-13"
"Amhara","Libo Kemkem","Birkutea","harvesting","2019-11-13","2019-11-13"
"Amhara","Libo Kemkem","Birkutea","land preparation","2019-03-10","2019-07-07"
"Amhara","Libo Kemkem","Birkutea","planting","2019-07-08","2019-08-06"
"Amhara","Libo Kemkem","Birkutea","flowering","2019-09-20","2019-09-30"
"Amhara","Libo Kemkem","Birkutea","tasseling/seed filling","2019-09-30","2019-10-10"
"Amhara","Libo Kemkem","Birkutea","harvesting","2019-10-22","2019-12-09"
"Amhara","Libo Kemkem","Birkutea","land preparation","2019-03-10","2019-05-05"
"Amhara","Libo Kemkem","Birkutea","planting","2019-05-09","2019-05-28"
"Amhara","Libo Kemkem","Birkutea","flowering","2019-07-28","2019-08-11"
"Amhara","Libo Kemkem","Birkutea","tasseling/seed filling","2019-08-21","2019-09-22"
"Amhara","Libo Kemkem","Birkutea","harvesting","2019-10-11","2019-11-09"
"Amhara","Libo Kemkem","Ginaza","land preparation","2019-03-10","2019-07-07"
"Amhara","Libo Kemkem","Ginaza","planting","2019-07-08","2019-08-06"
"Amhara","Libo Kemkem","Ginaza","flowering","2019-09-11","2019-09-26"
"Amhara","Libo Kemkem","Ginaza","tasseling/seed filling","2019-09-27","2019-10-31"
"Amhara","Libo Kemkem","Ginaza","harvesting","2019-11-10","2019-12-09"
"Amhara","Libo Kemkem","Ginaza","land preparation","2019-03-10","2019-05-09"
"Amhara","Libo Kemkem","Ginaza","planting","2019-05-09","2019-06-01"
"Amhara","Libo Kemkem","Ginaza","flowering","2019-08-18","2019-08-24"
"Amhara","Libo Kemkem","Ginaza","tasseling/seed filling","2019-09-06","2019-09-26"
"Amhara","Libo Kemkem","Ginaza","harvesting","2019-10-26","2019-11-09"
"Amhara","Libo Kemkem","Birkutea","land preparation","2019-03-10","2019-07-23"
"Amhara","Libo Kemkem","Birkutea","planting","2019-07-08","2019-08-06"
"Amhara","Libo Kemkem","Birkutea","flowering","2019-09-05","2019-09-27"
"Amhara","Libo Kemkem","Birkutea","tasseling/seed filling","2019-09-28","2019-10-10"
"Amhara","Libo Kemkem","Birkutea","harvesting","2019-11-14","2019-12-09"
"Amhara","Libo Kemkem","Birkutea","land preparation","2019-03-10","2019-05-08"
"Amhara","Libo Kemkem","Birkutea","planting","2019-05-15","2019-06-17"
"Amhara","Libo Kemkem","Birkutea","flowering","2019-08-06","2019-09-05"
"Amhara","Libo Kemkem","Birkutea","tasseling/seed filling","2019-08-22","2019-09-25"
"Amhara","Libo Kemkem","Birkutea","harvesting","2019-10-25","2019-11-09"
"Amhara","Libo Kemkem","Birkutea","land preparation","2019-03-10","2019-05-24"
"Amhara","Libo Kemkem","Birkutea","planting","2019-05-18","2019-06-19"
"Amhara","Libo Kemkem","Birkutea","flowering","2019-08-24","2019-09-15"
"Amhara","Libo Kemkem","Birkutea","tasseling/seed filling","2019-09-17","2019-10-10"
"Amhara","Libo Kemkem","Birkutea","harvesting","2019-10-26","2019-11-24"
"Amhara","Libo Kemkem","Ginaza","land preparation","2019-03-10","2019-07-08"
"Amhara","Libo Kemkem","Ginaza","planting","2019-07-11","2019-07-23"
"Amhara","Libo Kemkem","Ginaza","flowering","2019-09-12","2019-10-09"
"Amhara","Libo Kemkem","Ginaza","tasseling/seed filling","2019-10-12","2019-10-27"
"Amhara","Libo Kemkem","Ginaza","harvesting","2019-11-11","2019-12-05"
"Amhara","Libo Kemkem","Ginaza","land preparation","2019-03-10","2019-05-08"
"Amhara","Libo Kemkem","Ginaza","planting","2019-05-09","2019-05-28"
"Amhara","Libo Kemkem","Ginaza","flowering","2019-08-22","2019-09-12"
"Amhara","Libo Kemkem","Ginaza","tasseling/seed filling","2019-09-21","2019-10-11"
"Amhara","Libo Kemkem","Ginaza","harvesting","2019-10-27","2019-11-10"
"Amhara","Libo Kemkem","Ginaza","land preparation","2019-11-14","2019-11-14"
"Amhara","Libo Kemkem","Ginaza","planting","2019-11-14","2019-11-14"
"Amhara","Libo Kemkem","Ginaza","flowering","2019-11-14","2019-11-14"
"Amhara","Libo Kemkem","Ginaza","tasseling/seed filling","2019-11-14","2019-11-14"
"Amhara","Libo Kemkem","Ginaza","harvesting","2019-11-14","2019-11-14"
"Amhara","Libo Kemkem","Ginaza","land preparation","2019-11-14","2019-11-14"
"Amhara","Libo Kemkem","Ginaza","planting","2019-11-14","2019-11-14"
"Amhara","Libo Kemkem","Ginaza","flowering","2019-11-14","2019-11-14"
"Amhara","Libo Kemkem","Ginaza","tasseling/seed filling","2019-11-14","2019-11-14"
"Amhara","Libo Kemkem","Ginaza","harvesting","2019-11-14","2019-11-14"
"Amhara","Libo Kemkem","Ginaza","land preparation","2019-11-14","2019-11-14"
"Tigray","Medebay-Zana","Adibearj","land preparation","2019-03-24","2019-07-07"
"Tigray","Medebay-Zana","Adibearj","planting","2019-07-08","2019-07-27"
"Tigray","Medebay-Zana","Adibearj","flowering","2019-09-06","2019-09-27"
"Tigray","Medebay-Zana","Adibearj","tasseling/seed filling","2019-10-10","2019-11-10"
"Tigray","Medebay-Zana","Adibearj","harvesting","2019-10-11","2019-12-01"
"Tigray","Medebay-Zana","Adibearj","land preparation","2019-03-01","2019-03-11"
"Tigray","Medebay-Zana","Adibearj","planting","2019-05-11","2019-06-07"
"Tigray","Medebay-Zana","Adibearj","flowering","2019-08-06","2019-08-22"
"Tigray","Medebay-Zana","Adibearj","tasseling/seed filling","2019-08-23","2019-09-27"
"Tigray","Medebay-Zana","Adibearj","harvesting","2019-10-12","2019-10-31"
"Tigray","Medebay-Zana","Adibearj","land preparation","2019-03-10","2019-05-11"
"Tigray","Medebay-Zana","Adibearj","planting","2019-03-12","2019-06-30"
"Tigray","Medebay-Zana","Adibearj","flowering","2019-08-07","2019-09-05"
"Tigray","Medebay-Zana","Adibearj","tasseling/seed filling","2019-09-12","2019-10-12"
"Tigray","Medebay-Zana","Adibearj","harvesting","2019-10-25","2019-11-10"
"Tigray","Tanqua-Abergele","Hadashtekli","land preparation","2019-01-09","2019-04-08"
"Tigray","Tanqua-Abergele","Hadashtekli","planting","2019-05-24","2019-07-05"
"Tigray","Tanqua-Abergele","Hadashtekli","flowering","2019-08-24","2019-09-09"
"Tigray","Tanqua-Abergele","Hadashtekli","tasseling/seed filling","2019-09-13","2019-10-08"
"Tigray","Tanqua-Abergele","Hadashtekli","harvesting","2019-10-23","2019-11-23"
"Tigray","Tanqua-Abergele","Hadashtekli","land preparation","2019-01-09","2019-04-08"
"Tigray","Tanqua-Abergele","Hadashtekli","planting","2019-05-23","2019-07-13"
"Tigray","Tanqua-Abergele","Hadashtekli","flowering","2019-08-24","2019-09-13"
"Tigray","Tanqua-Abergele","Hadashtekli","tasseling/seed filling","2019-09-24","2019-10-20"
"Tigray","Tanqua-Abergele","Hadashtekli","harvesting","2019-11-08","2019-12-08"
"Tigray","Werieleke","Tsae","land preparation","2019-03-10","2019-06-22"
"Tigray","Werieleke","Tsae","planting","2019-07-03","2019-07-22"
"Tigray","Werieleke","Tsae","flowering","2019-09-02","2019-09-10"
"Tigray","Werieleke","Tsae","tasseling/seed filling","2019-09-12","2019-09-27"
"Tigray","Werieleke","Tsae","harvesting","2019-10-12","2019-10-26"
"Tigray","Werieleke","Tsae","land preparation","2019-03-10","2019-05-13"
"Tigray","Werieleke","Tsae","planting","2019-05-23","2019-06-12"
"Tigray","Werieleke","Tsae","flowering","2019-08-07","2019-08-21"
"Tigray","Werieleke","Tsae","tasseling/seed filling","2019-09-06","2019-09-26"
"Tigray","Werieleke","Tsae","harvesting","2019-10-07","2019-10-16"
"Tigray","Werieleke","Tsae","land preparation","2019-03-10","2019-05-13"
"Tigray","Werieleke","Tsae","planting","2019-05-23","2019-06-12"
"Tigray","Werieleke","Tsae","flowering","2019-08-07","2019-08-21"
"Tigray","Werieleke","Tsae","tasseling/seed filling","2019-09-06","2019-09-26"
"Tigray","Werieleke","Tsae","harvesting","2019-11-08","2019-11-25"
"Tigray","Werieleke","Enda-Felasi","land preparation","2019-01-09","2019-06-30"
"Tigray","Werieleke","Enda-Felasi","planting","2019-07-05","2019-07-25"
"Tigray","Werieleke","Enda-Felasi","flowering","2019-08-24","2019-09-10"
"Tigray","Werieleke","Enda-Felasi","tasseling/seed filling","2019-09-12","2019-09-26"
"Tigray","Werieleke","Enda-Felasi","harvesting","2019-10-09","2019-11-11"
"Tigray","Werieleke","Enda-Felasi","land preparation","2019-01-09","2019-05-08"
"Tigray","Werieleke","Enda-Felasi","planting","2019-05-23","2019-06-22"
"Tigray","Werieleke","Enda-Felasi","flowering","2019-08-18","2019-08-26"
"Tigray","Werieleke","Enda-Felasi","tasseling/seed filling","2019-09-06","2019-09-28"
"Tigray","Werieleke","Enda-Felasi","harvesting","2019-10-01","2019-10-21"
"Tigray","Werieleke","Enda-Felasi","land preparation","2019-01-09","2019-03-24"
"Tigray","Werieleke","Enda-Felasi","planting","2019-04-09","2020-01-08"
"Tigray","Werieleke","Enda-Felasi","flowering","2019-08-22","2019-09-12"
"Tigray","Werieleke","Enda-Felasi","tasseling/seed filling","2019-09-16","2019-10-26"
"Tigray","Werieleke","Enda-Felasi","harvesting","2019-11-11","2019-11-25"
"Tigray","Emba-Alaje","Amedwuha","land preparation","2019-01-10","2019-05-08"
"Tigray","Emba-Alaje","Amedwuha","planting","2019-05-10","2019-06-23"
"Tigray","Emba-Alaje","Amedwuha","flowering","2019-08-22","2019-09-12"
"Tigray","Emba-Alaje","Amedwuha","tasseling/seed filling","2019-10-08","2019-11-15"
"Tigray","Emba-Alaje","Amedwuha","harvesting","2019-11-25","2019-12-20"
"Tigray","Emba-Alaje","Amedwuha","land preparation","2019-01-10","2019-06-21"
"Tigray","Emba-Alaje","Amedwuha","planting","2019-07-02","2019-07-18"
"Tigray","Emba-Alaje","Amedwuha","flowering","2019-08-26","2019-09-12"
"Tigray","Emba-Alaje","Amedwuha","tasseling/seed filling","2019-09-30","2019-10-24"
"Tigray","Emba-Alaje","Amedwuha","harvesting","2019-11-02","2019-11-29"
"Tigray","Emba-Alaje","Ayba","land preparation","2019-01-10","2019-06-07"
"Tigray","Emba-Alaje","Ayba","planting","2019-07-05","2019-07-17"
"Tigray","Emba-Alaje","Ayba","flowering","2019-08-22","2019-09-11"
"Tigray","Emba-Alaje","Ayba","tasseling/seed filling","2019-09-27","2019-10-25"
"Tigray","Emba-Alaje","Ayba","harvesting","2019-11-10","2019-12-10"
"Tigray","Emba-Alaje","Ayba","land preparation","2019-03-10","2019-06-07"
"Tigray","Emba-Alaje","Ayba","planting","2019-06-11","2019-07-07"
"Tigray","Emba-Alaje","Ayba","flowering","2019-08-22","2019-09-11"
"Tigray","Emba-Alaje","Ayba","tasseling/seed filling","2019-09-27","2019-10-25"
"Tigray","Emba-Alaje","Ayba","harvesting","2019-10-26","2019-11-17"
"Tigray","Medebay-Zana","Kuluferha","land preparation","2019-03-09","2019-05-08"
"Tigray","Medebay-Zana","Kuluferha","planting","2019-05-11","2019-06-17"
"Tigray","Medebay-Zana","Kuluferha","flowering","2019-07-24","2019-08-24"
"Tigray","Medebay-Zana","Kuluferha","tasseling/seed filling","2019-08-25","2019-09-30"
"Tigray","Medebay-Zana","Kuluferha","harvesting","2019-10-30","2019-11-20"
"Tigray","Medebay-Zana","Kuluferha","land preparation","2019-05-24","2019-07-04"
"Tigray","Medebay-Zana","Kuluferha","planting","2019-07-06","2019-07-28"
"Tigray","Medebay-Zana","Kuluferha","flowering","2019-08-23","2019-09-12"
"Tigray","Medebay-Zana","Kuluferha","tasseling/seed filling","2019-09-14","2019-10-01"
"Tigray","Medebay-Zana","Kuluferha","harvesting","2019-10-26","2019-11-30"
"Tigray","Medebay-Zana","Kuluferha","land preparation","2019-03-10","2019-05-09"
"Tigray","Medebay-Zana","Kuluferha","planting","2019-05-11","2019-06-13"
"Tigray","Medebay-Zana","Kuluferha","flowering","2019-08-23","2019-09-06"
"Tigray","Medebay-Zana","Kuluferha","tasseling/seed filling","2019-09-12","2019-09-27"
"Tigray","Medebay-Zana","Kuluferha","harvesting","2019-10-24","2019-11-11"
"Tigray","Saharti Samre","Lemlem Arena","land preparation","2019-06-08","2019-07-22"
"Tigray","Saharti Samre","Lemlem Arena","planting","2019-07-23","2019-08-06"
"Tigray","Saharti Samre","Lemlem Arena","flowering","2019-08-22","2019-09-05"
"Tigray","Saharti Samre","Lemlem Arena","tasseling/seed filling","2019-09-12","2019-09-26"
"Tigray","Saharti Samre","Lemlem Arena","harvesting","2019-10-19","2019-11-11"
"Tigray","Saharti Samre","Lemlem Arena","land preparation","2019-03-10","2019-04-23"
"Tigray","Saharti Samre","Lemlem Arena","planting","2019-04-24","2019-06-22"
"Tigray","Saharti Samre","Lemlem Arena","flowering","2019-08-03","2019-09-12"
"Tigray","Saharti Samre","Lemlem Arena","tasseling/seed filling","2019-08-22","2019-09-26"
"Tigray","Saharti Samre","Lemlem Arena","harvesting","2019-11-18","2019-11-30"
"Tigray","Saharti Samre","Dekera","land preparation","2019-06-08","2019-07-12"
"Tigray","Saharti Samre","Dekera","planting","2019-07-18","2019-08-04"
"Tigray","Saharti Samre","Dekera","flowering","2019-08-22","2019-09-05"
"Tigray","Saharti Samre","Dekera","tasseling/seed filling","2019-09-01","2019-09-22"
"Tigray","Saharti Samre","Dekera","harvesting","2019-10-25","2019-11-12"
"Tigray","Saharti Samre","Dekera","land preparation","2019-04-09","2019-05-08"
"Tigray","Saharti Samre","Dekera","planting","2019-05-09","2019-06-17"
"Tigray","Saharti Samre","Dekera","flowering","2019-08-16","2019-09-12"
"Tigray","Saharti Samre","Dekera","tasseling/seed filling","2019-08-22","2019-09-18"
"Tigray","Saharti Samre","Dekera","harvesting","2019-11-22","2019-12-03"
"Tigray","Raya Azebo","Werabaye","land preparation","2019-03-10","2019-07-08"
"Tigray","Raya Azebo","Werabaye","planting","2019-07-22","2019-08-06"
"Tigray","Raya Azebo","Werabaye","flowering","2019-08-21","2019-09-05"
"Tigray","Raya Azebo","Werabaye","tasseling/seed filling","2019-09-07","2019-09-26"
"Tigray","Raya Azebo","Werabaye","harvesting","2019-10-11","2019-11-10"
"Tigray","Raya Azebo","Werabaye","land preparation","2019-03-10","2019-04-23"
"Tigray","Raya Azebo","Werabaye","planting","2019-04-28","2019-05-18"
"Tigray","Raya Azebo","Werabaye","flowering","2019-08-22","2019-09-05"
"Tigray","Raya Azebo","Werabaye","tasseling/seed filling","2019-09-11","2019-09-26"
"Tigray","Raya Azebo","Werabaye","harvesting","2019-11-24","2019-12-24"
"Tigray","Raya Azebo","Erba","land preparation","2019-02-09","2019-07-17"
"Tigray","Raya Azebo","Erba","planting","2019-07-22","2019-08-16"
"Tigray","Raya Azebo","Erba","flowering","2019-09-05","2019-09-26"
"Tigray","Raya Azebo","Erba","tasseling/seed filling","2019-09-29","2019-10-11"
"Tigray","Raya Azebo","Erba","harvesting","2019-11-20","2019-11-25"
"Tigray","Raya Azebo","Erba","land preparation","2019-02-09","2019-04-08"
"Tigray","Raya Azebo","Erba","planting","2019-04-09","2019-05-24"
"Tigray","Raya Azebo","Erba","flowering","2019-08-22","2019-09-05"
"Tigray","Raya Azebo","Erba","tasseling/seed filling","2019-09-11","2019-09-26"
"Tigray","Raya Azebo","Erba","harvesting","2019-12-10","2020-01-08"
"Tigray","Endamekoni","Meswaeti","land preparation","2019-12-25","2020-07-18"
"Tigray","Endamekoni","Meswaeti","planting","2019-07-23","2019-08-01"
"Tigray","Endamekoni","Meswaeti","flowering","2019-09-11","2019-09-27"
"Tigray","Endamekoni","Meswaeti","tasseling/seed filling","2019-10-05","2019-10-16"
"Tigray","Endamekoni","Meswaeti","harvesting","2019-10-31","2019-12-05"
"Tigray","Endamekoni","Meswaeti","land preparation","2019-12-25","2020-06-07"
"Tigray","Endamekoni","Meswaeti","planting","2019-07-14","2019-07-26"
"Tigray","Endamekoni","Meswaeti","flowering","2019-09-03","2019-09-25"
"Tigray","Endamekoni","Meswaeti","tasseling/seed filling","2019-09-30","2019-10-15"
"Tigray","Endamekoni","Meswaeti","harvesting","2019-11-14","2019-12-04"
"Tigray","Raya Azebo","Wargba","land preparation","2019-02-11","2019-07-07"
"Tigray","Raya Azebo","Wargba","planting","2019-07-23","2019-08-13"
"Tigray","Raya Azebo","Wargba","flowering","2019-08-22","2019-09-26"
"Tigray","Raya Azebo","Wargba","tasseling/seed filling","2019-09-28","2019-10-10"
"Tigray","Raya Azebo","Wargba","harvesting","2019-10-26","2019-12-09"
"Tigray","Raya Azebo","Wargba","land preparation","2019-02-09","2019-04-08"
"Tigray","Raya Azebo","Wargba","planting","2019-04-22","2019-06-07"
"Tigray","Raya Azebo","Wargba","flowering","2019-08-22","2019-09-05"
"Tigray","Raya Azebo","Wargba","tasseling/seed filling","2019-09-26","2019-11-09"
"Tigray","Raya Azebo","Wargba","harvesting","2019-12-01","2019-12-24"
"Tigray","Endamekoni","Tahtay haya","land preparation","2019-01-10","2019-07-08"
"Tigray","Endamekoni","Tahtay haya","planting","2019-08-01","2019-08-12"
"Tigray","Endamekoni","Tahtay haya","flowering","2019-09-03","2019-09-25"
"Tigray","Endamekoni","Tahtay haya","tasseling/seed filling","2019-09-28","2019-10-25"
"Tigray","Endamekoni","Tahtay haya","harvesting","2019-12-10","2020-12-09"
"Tigray","Endamekoni","Tahtay haya","land preparation","2019-01-10","2019-07-05"
