T2,MODIS HAIN ET
Oct 2000,35.9
Oct 2001,7.1
Oct 2002,1.0
Oct 2003,46.0
Oct 2004,24.3
Oct 2005,51.1
Oct 2006,51.8
Oct 2007,84.2
Oct 2008,68.1
Oct 2009,37.8
Oct 2010,63.5
Oct 2011,52.3
Oct 2012,45.0
Oct 2013,55.1
Oct 2014,54.2
