"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,53.05,50,75,0,0,0,0
1984,16,7.06,32.06,75,91.76,0,0,91.76
1985,16,38.28,50,75,0,0,0,0
1986,16,36.87,50,75,0,0,0,0
1987,16,75,50,75,0,0,0,0
1988,16,53.85,28.85,75,0,0,0,0
1989,16,75,50,75,0,0,0,0
1990,16,5.62,18.99,63.37,97.51,0,48.45,145.97
1991,16,21.38,35.98,75,34.48,0,0,34.48
1992,16,29.74,50,75,1.06,0,0,1.06
1993,16,58.71,50,75,0,0,0,0
1994,16,38.19,50,75,0,0,0,0
1995,16,42.65,50,75,0,0,0,0
1996,16,75,50,75,0,0,0,0
1997,16,75,50,75,0,0,0,0
1998,16,70.37,50,75,0,0,0,0
1999,16,44.49,50,75,0,0,0,0
2000,16,25,50,75,20,0,0,20
2001,16,11.74,28.38,75,73.05,0,0,73.05
2002,16,15.15,28.71,74.32,59.4,0,2.82,62.22
2003,16,23.11,42.09,75,27.57,0,0,27.57
2004,16,28.16,41.34,66.34,7.37,0,36.07,43.43
2005,16,73,48,73.9,0,0,4.56,4.56
2006,16,30.15,50,75,0,0,0,0
2007,16,55.47,48.62,75,0,0,0,0
2008,16,30.13,50,75,0,0,0,0
2009,16,53.32,46.81,75,0,0,0,0
2010,16,49.54,44.11,75,0,0,0,0
2011,16,63.09,50,75,0,0,0,0
2012,16,31.88,50,75,0,0,0,0
2013,16,30.15,49.66,74.66,0,0,1.4,1.4
2014,16,50,50,75,0,0,0,0
2015,16,37.37,50,75,0,0,0,0
2016,16,58.15,50,75,0,0,0,0
2017,16,43.2,50,75,0,0,0,0
2018,16,61.57,50,75,0,0,0,0
2019,16,75,50,75,0,0,0,0
