"","MIXEDET"
"1983",18.5203969597051
"1984",-1.14051154462539
"1985",43.6970695201859
"1986",15.5970497501836
"1987",47.31102188527
"1988",17.5489267087807
"1989",-3.53203402891973
"1990",-1.88779635302878
"1991",33.875798005073
"1992",32.9397217521361
"1993",40.7047286426192
"1994",26.6308647510221
"1995",34.4475201395624
"1996",28.3859285637525
"1997",33.8734759336345
"1998",15.8658822935456
"1999",23.0086092214001
"2000",5.5
"2001",11.4
"2002",1.7
"2003",32.9
"2004",9.7
"2005",31.7
"2006",21.6
"2007",59.8
"2008",46
"2009",26.9
"2010",50
"2011",15.3
"2012",35.1
"2013",3.8
"2014",17.1
