"","MIXEDET"
"1983",-1.9001086050714
"1984",10.9766034886
"1985",29.0991346494633
"1986",50.4511266354132
"1987",18.4045206211469
"1988",27.7338358812246
"1989",40.5666294231982
"1990",-1.07480433211763
"1991",8.15398783119371
"1992",36.8533855607767
"1993",52.5284491160833
"1994",61.7793613636101
"1995",53.8683401623877
"1996",39.8700075787748
"1997",27.0508648803719
"1998",55.9424107405318
"1999",84.7045594683095
"2000",22.8
"2001",16.6
"2002",3.5
"2003",36.1
"2004",7.4
"2005",27
"2006",61.7
"2007",84.3
"2008",61.7
"2009",26.1
"2010",53.1
"2011",48.8
"2012",37
"2013",48.3
"2014",42.4
