"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,10.24,7.88,54.39,56.33,0,28.03,84.36
1984,16,75,28.56,53.56,0,0,29.87,29.87
1985,16,1.66,16.22,64.56,100,0,5.43,105.43
1986,16,43.06,50,75,0,0,0,0
1987,16,31.99,9.41,27.42,0,0,87.95,87.95
1988,16,17.15,33.95,75,0,0,0,0
1989,16,18.48,40.96,75,0,0,0,0
1990,16,13.15,23.3,60.15,32.07,0,15.23,47.3
1991,16,43.72,50,66.25,0,0,1.66,1.66
1992,16,10.28,4.37,32.53,56.01,0,76.61,132.62
1993,16,45.72,45.26,75,0,0,0,0
1994,16,25,50,75,0,0,0,0
1995,16,13.04,34.73,71.69,33,0,0,33
1996,16,50,25,75,0,0,0,0
1997,16,56.69,31.69,75,0,0,0,0
1998,16,7.9,25,75,75.85,0,0,75.85
1999,16,39.61,50,75,0,0,0,0
2000,16,18.36,37.09,75,0,0,0,0
2001,16,42.26,50,75,0,0,0,0
2002,16,38.64,46.75,70.97,0,0,0,0
2003,16,29.09,42.64,75,0,0,0,0
2004,16,38.34,22.76,50,0,0,37.78,37.78
2005,16,19.52,44.52,75,0,0,0,0
2006,16,19.96,24.19,74.19,0,0,0,0
2007,16,31.58,43.04,75,0,0,0,0
2008,16,34.58,25,75,0,0,0,0
2009,16,25,25,75,0,0,0,0
2010,16,28.96,44.63,69.63,0,0,0,0
2011,16,46.59,48.08,75,0,0,0,0
2012,16,17.53,42.53,75,0,0,0,0
2013,16,57.57,50,75,0,0,0,0
2014,16,0,25,75,100,0,0,100
2015,16,39.64,24.5,49.3,0,0,39.34,39.34
2016,16,65.1,50,75,0,0,0,0
2017,16,4.51,25,75,100,0,0,100
2018,16,55.68,30.68,75,0,0,0,0
2019,16,42.62,38.98,75,0,0,0,0
