"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,6.72,5.63,53.82,13.79,0,6.4,20.19
1984,16,48.34,33.34,60.73,0,0,0,0
1985,16,0.42,25.42,75,100,0,0,100
1986,16,25,50,50,0,0,17.65,17.65
1987,16,4.77,9.03,50.08,100,0,17.4,117.4
1988,16,28.74,34.99,75,0,0,0,0
1989,16,2.03,25,75,100,0,0,100
1990,16,8.24,17.6,59.36,0,0,0,0
1991,16,22.99,45.03,68.79,0,0,0,0
1992,16,5.91,5.91,27.74,54.39,0,83.1,137.49
1993,16,50,0,48.78,0,0,21.25,21.25
1994,16,24.59,49.59,75,0,0,0,0
1995,16,0,14.64,64.64,100,0,0,100
1996,16,38.33,25,75,0,0,0,0
1997,16,66.44,46.67,75,0,0,0,0
1998,16,13.33,25,75,0,0,0,0
1999,16,29.18,44.04,75,0,0,0,0
2000,16,15.94,27.49,75,0,0,0,0
2001,16,17.1,36.2,75,0,0,0,0
2002,16,13.93,35.45,75,0,0,0,0
2003,16,16.89,30.7,75,0,0,0,0
2004,16,12.86,10.05,55.36,0,0,1.87,1.87
2005,16,9.59,34.59,75,0,0,0,0
2006,16,14.5,14.5,50,0,0,17.65,17.65
2007,16,20.33,34.09,75,0,0,0,0
2008,16,37.86,25,75,0,0,0,0
2009,16,17.54,29.24,75,0,0,0,0
2010,16,23.51,48.51,75,0,0,0,0
2011,16,38.54,28.51,53.51,0,0,7.31,7.31
2012,16,8.23,16.54,58.32,0,0,0,0
2013,16,0,25,75,100,0,0,100
2014,16,0,25,67.56,100,0,0,100
2015,16,14.2,4.13,40.7,0,0,44.99,44.99
2016,16,37.46,39.27,75,0,0,0,0
2017,16,0,25,75,100,0,0,100
2018,16,50,25,75,0,0,0,0
2019,16,59.54,40.95,75,0,0,0,0
