"","MIXEDET"
"1983",6.99766216587074
"1984",15.9022348054747
"1985",38.5752583763635
"1986",28.1293974384635
"1987",15.482823871646
"1988",24.6936820381466
"1989",44.3666440151468
"1990",16.2476000184024
"1991",-2.36225536035202
"1992",26.9015633091612
"1993",29.223356420418
"1994",58.5558367674006
"1995",53.9197519087692
"1996",47.743316422327
"1997",32.9265498885156
"1998",47.665761998965
"1999",59.9798255127334
"2000",23.9
"2001",26.1
"2002",10.4
"2003",23.8
"2004",22.1
"2005",44.4
"2006",48.2
"2007",72
"2008",54.8
"2009",34.6
"2010",65
"2011",30.9
"2012",28.7
"2013",38.9
"2014",28.5
