"","MIXEDET"
"1983",27.7521524031523
"1984",2.54523860616561
"1985",22.1165843316303
"1986",23.7203384457502
"1987",49.7480680000804
"1988",25.093434238919
"1989",31.040410254579
"1990",13.1247519853473
"1991",24.1181311969296
"1992",52.3832528681035
"1993",34.214459578683
"1994",4.11274824231259
"1995",5.09903348920011
"1996",4.06235176852345
"1997",23.0695067286523
"1998",20.3133575162992
"1999",42.515597685716
"2000",15.6
"2001",10.6
"2002",2.8
"2003",27.8
"2004",5.3
"2005",25.2
"2006",21.5
"2007",53.1
"2008",36.8
"2009",26.1
"2010",43.5
"2011",11.7
"2012",37.1
"2013",5.8
"2014",21.3
