"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"3-Feb",0,0,0,0,0,0,0,0.00279633243243243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1034643,0,0,0
"4-Feb",0,0,0,0,0,0,0,0.0123317594594595,0,0,0,0,0,0,0,0.4562751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Feb",0,0,0.000210201527777778,0,0,0.007567255,0,0.000210201527777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-Feb",0,0,0,0,0,0,0,0.002820425,0,0,0,0.002820425,0,0.1015353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Feb",0,0.00820336666666667,0,0,0,0,0,0.00820336666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2953212,0,0,0
"8-Feb",0,0,0,0,0,0,0,0.0409005405405405,0,0,0,0,0,0,0,1.51332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-Feb",0,0,0,0,0,0,0,0.00538005135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1990619
"13-Feb",0,0,0,0,0,0,0,0.000826075135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01407935,0,0,0,0,0,0,0,0,0,0,0.01648543
"14-Feb",0,0.098602325,0.098602325,0,0,0,0,0.098602325,0.098602325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01757075,0,0,0,0,0,0,0,0,0,0,0,3.074222,0,0.2606863,0
"15-Feb",0.05589835,0.05589835,0,0,0,0,0,0.05589835,0,0,0.05589835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1398999,0,0,0,0,0,0,0,0,0,0,0,1.760644,0
"16-Feb",0,0,0.0714778888888889,0,0,0,0,0.0714778888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.573204,0,0,0
"17-Feb",0,0,0,0,0,0,0,0,0,0,0.0103138108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381611,0
"18-Feb",0.107757863714286,0,0,0.107757863714286,0,0,0,0,0,0,0.107757863714286,0,0.06902113,0,0,0,0,0,0,0,0,0,0,0,0.1325123,0,0,0,0,0,0,0.9395778,0,0,2.630414,0,0,0
"19-Feb",0,0,0,0,0,1.548943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.922478,0,0,0,0,0,0
"20-Feb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-Feb",0,0,0.0116914405555556,0,0.0116914405555556,0,0,0,0,0,0,0,0.3612868,0,0,0,0,0,0,0,0,0.05960506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-Feb",0,0,0,0,0,3.743299,0,0,0,0,0,0,0,0,0,0.4588294,0,0,0,0,4.880338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-Feb",0,0,0.0646359216216216,0,0,0,0,0,0,0,0,0.4794471,1.912082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-Feb",0,0,0.141933743243243,0,0,4.458731,0,0,0,0,0,0.7928175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Feb",0,0,0.0408520285714286,0.0408520285714286,0,0,0,0.0408520285714286,0,0,0,1.429821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Feb",0,0,0,2.359114,0,0,0,0.0637598378378378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-Feb",0,0,0.0839387942857143,0.6303897,0.509091,0,0,0.0839387942857143,0,0,0,0,0,0,0,0,0,0,0.0839387942857143,0,0,0,0.4857306,0,0,0,0,0,0,0,0,0,0,0.9445227,0,0.3681238,0,0
"28-Feb",0,0,0,0,0,0,0,0.0967592405405405,0,0,0,0,0,0.8326509,0,0,0,0,0,0,0,0,0,0,0,0,2.747441,0,0,0,0,0,0,0,0,0,0,0
"29-Feb",0.2207931,2.207931,0.2207931,0.2207931,0.2207931,0,0.2207931,0.2207931,0.2207931,0,0.2207931,0.2207931,0.2207931,0,0.2207931,0.2207931,0.2207931,0,0.2207931,0.2207931,0.2207931,0,0.2207931,0.2207931,0.2207931,0,0.2207931,0.2207931,0.2207931,0,0.2207931,0.2207931,0.2207931,0,0.2207931,0.2207931,0.2207931,0
"1-Mar",0,0,0,0,0,0,0,0.101263081081081,0,0,0,0,0,0,0,0,0,0,0,3.746734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Mar",0.8513446,0.3338287,0,0,1.215402,0,0,0.253522062162162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.979741,0,0,0,0,0,0,0,0,0,0,0
"3-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.592585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
