"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",0.5040347,1.59385,1.505635,0.7293211,1.451849,1.05172,1.113134,1.035007,0.4516114,1.540677,3.18757
"Feb",0.8646075,1.763242,1.568442,1.869611,1.526615,2.383108,2.116889,1.674898,1.698394,1.711828,3.656703
"Mar",2.789494,5.138519,2.60045,3.005023,2.425782,4.080059,3.968273,4.13214,4.105136,3.155013,3.344964
"Apr",5.669927,7.630758,4.649875,5.892089,5.950207,6.116938,6.223167,6.755375,6.584275,6.440314,7.980329
"May",6.738789,7.224064,7.709692,7.409522,7.33983,8.411579,7.140341,10.37716,8.370619,11.91585,11.61503
"Jun",10.51385,9.08557,11.8346,9.172383,9.252586,12.31874,12.88163,10.66664,9.398073,11.44516,11.42553
"Jul",28.81778,21.08348,25.26558,20.79046,23.37275,28.38901,25.28378,24.40644,19.75477,26.95284,22.37468
"Aug",31.90935,26.74581,26.8066,32.06253,30.96565,33.63416,29.46173,31.3876,28.28355,34.27462,30.69813
"Sep",19.68575,11.98827,10.79093,20.22617,17.79279,17.64619,12.45639,20.62015,13.45844,18.26074,19.75099
"Oct",3.615459,1.983015,1.744576,3.755562,4.334038,3.537546,2.999472,4.943861,2.431301,4.281838,4.047245
"Nov",0.7281681,1.685649,0.6060434,1.306702,1.368085,1.211527,1.389116,1.478448,1.580779,1.595853,2.072437
"Dec",0.8696206,0.8113304,0.4942706,0.9206516,0.5648276,0.9302552,0.694109,0.9442884,1.760013,1.874002,2.574771
