"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",10.91715,12.3338,14.3907,13.89539,14.15928,12.43773,12.7246,14.97053,11.34665,14.03004,14.90074,14.49356,14.62776,17.65246,16.25881,14.17503,17.39145,15.26633,15.24739,15.07114,14.25837,16.1589,14.27834,14.77441,16.46845,13.41307,14.90924,15.41287,15.73746,14.96626,15.92273
"Feb",12.93579,9.323166,12.69458,11.79429,12.42099,13.27654,15.66673,11.62555,11.19663,15.17694,12.6784,13.79737,11.9829,15.76103,15.09926,13.98307,15.22285,17.75004,15.87564,17.96841,15.18735,13.45537,13.85152,14.7927,15.68691,15.35891,14.80282,17.66462,16.3414,16.48233,15.9239
"Mar",16.24676,17.17701,18.63982,15.95353,16.31059,14.54112,19.13992,15.92983,19.48231,18.16621,21.33699,21.84743,19.66125,18.03289,15.77026,17.76351,22.12437,22.22664,19.74866,22.5303,19.8803,20.53149,20.90144,20.14461,21.71597,19.92388,20.80204,23.02001,21.20714,23.31521,23.6313
"Apr",19.80386,22.08228,21.2741,18.56174,20.31878,18.16462,20.22381,17.04445,23.29781,20.07318,24.34504,22.87427,27.74034,26.47241,18.78204,22.59127,24.77268,23.12354,25.51242,23.99644,23.00652,25.37417,24.71814,22.56519,25.97654,22.4054,25.08478,25.10912,26.58058,27.0128,27.01082
"May",20.80157,23.03118,25.71489,30.01246,30.8917,28.9276,27.68912,25.79045,26.34566,25.24279,33.42038,29.34996,27.57654,32.85577,28.03969,26.09989,31.90399,30.76265,30.40032,29.56186,29.68496,26.21041,29.17155,31.77857,26.89121,28.98036,26.811,28.48789,27.77298,32.22993,25.79405
"Jun",29.18585,22.96151,30.74204,22.61605,34.13174,27.20865,29.31348,26.49405,30.6412,27.12533,31.52665,25.85748,32.29713,28.57039,30.81202,29.06489,30.61253,31.85334,28.06507,29.17261,28.05766,25.26857,29.3997,30.45382,26.5923,25.86659,28.73723,29.29126,25.46065,29.44088,23.40458
"Jul",31.93989,33.55437,32.4429,34.62657,38.57019,19.57347,36.59724,29.16132,34.27314,31.78184,34.41354,21.06217,25.87978,39.06217,36.89503,33.10279,39.92044,42.28263,36.97842,33.81022,30.81716,31.84687,32.28997,30.40343,35.8003,31.19541,27.29665,33.01628,31.827,36.60368,31.13469
"Aug",28.24586,38.67656,38.20701,48.76406,42.36795,39.45155,30.32461,47.29655,44.34912,26.98485,43.53032,39.21472,50.76473,44.72484,48.61047,35.35357,55.5846,48.604,41.25411,41.33629,38.22665,43.83354,38.98789,40.80985,47.49506,43.89156,42.80126,48.30533,36.18355,45.55699,38.58589
"Sep",40.94236,36.72932,42.7031,42.95835,41.17113,42.61244,35.02971,33.80732,40.20035,41.90063,43.33912,42.89013,49.04287,48.98362,42.02758,50.07226,46.35239,39.91011,49.89006,42.90019,47.37201,40.19406,41.87292,45.457,43.4537,43.11788,50.27074,50.1958,38.84624,43.24975,46.34907
"Oct",29.41965,29.46994,30.50218,35.43419,29.54177,28.316,34.09207,31.82261,32.16036,29.08914,30.46498,35.49846,35.3189,34.93519,30.21722,35.15422,33.22141,32.63165,37.19648,33.0219,35.66556,29.2214,33.44073,38.50547,36.5206,29.36058,31.72931,37.83133,37.03036,35.40357,31.56177
"Nov",20.14582,18.38952,20.29909,20.73906,20.94274,19.21016,21.14096,16.83607,17.57247,20.43502,21.71142,21.57156,22.00859,21.29833,24.03144,23.5894,24.72357,24.22744,24.32676,20.61924,20.88655,18.21474,20.90812,24.02539,22.96594,21.10787,21.24074,22.31946,19.69426,21.33113,21.91368
"Dec",15.77971,13.7194,15.89937,14.92472,15.49614,12.18595,14.16885,12.9805,14.43072,18.28045,16.52337,16.29201,17.11925,17.34247,17.77896,18.11041,19.55736,19.39663,18.4022,19.52429,15.2849,14.67179,17.12678,16.61752,17.41195,16.175,16.94938,17.37632,17.77303,17.56192,16.64779
