"year","MIXEDET"
1983,29.083730997458
1984,31.5460858060631
1985,29.8509062441483
1986,33.1813719822848
1987,39.1960588599861
1988,10.2228508674904
1989,36.1869767285027
1990,24.8459422354134
1991,32.6423315110462
1992,28.8426780407785
1993,32.8564652352968
1994,12.4933699222761
1995,19.8410392334375
1996,39.9464114928695
1997,36.6411567979086
1998,30.857349999816
1999,41.2554182700247
2000,24.42011
2001,25.34513
2002,18.12564
2003,36.48531
2004,28.34521
2005,32.84523
2006,33.87498
2007,40.73985
2008,21.9402
2009,30.34985
2010,44.40467
2011,26.3251
2012,32.81035
2013,27.8556649378668
2014,29.21545
