Time,HainET30Y Evapotranspiration
Jul 1983,21.54781
Jul 1984,15.59461
Jul 1985,25.80964
Jul 1986,13.23896
Jul 1987,32.36572
Jul 1988,25.1949
Jul 1989,20.72912
Jul 1990,17.26994
Jul 1991,25.37651
Jul 1992,28.36982
Jul 1993,24.41315
Jul 1994,19.52816
Jul 1995,26.72474
Jul 1996,22.47728
Jul 1997,24.84909
Jul 1998,16.43058
Jul 1999,27.69334
Jul 2000,22.36509
Jul 2001,29.23562
Jul 2002,24.51897
Jul 2003,28.02571
Jul 2004,27.25755
Jul 2005,22.83475
Jul 2006,22.33615
Jul 2007,22.66331
Jul 2008,26.44016
Jul 2009,20.65694
Jul 2010,19.01401
Jul 2011,19.89487
Jul 2012,26.44754
Jul 2013,13.32318
