"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,25.52,1.42,32.62,0,0,29.17,29.17
1984,16,0.43,0.43,0,100,0,100,200
1985,16,0.92,21.63,63,100,0,0,100
1986,16,25,44.82,44.82,0,0,0,0
1987,16,2.08,3.65,12.99,100,0,79.51,179.51
1988,16,0,0,50,100,0,0,100
1989,16,0.65,11.68,43.62,100,0,0.96,100.96
1990,16,0,0,50,100,0,0,100
1991,16,26.26,30.67,65.95,0,0,0,0
1992,16,0,0,29.59,100,0,36.94,136.94
1993,16,0.07,0,48.6,100,0,0,100
1994,16,0,0,50,100,0,0,100
1995,16,3.1,3.33,53.33,100,0,0,100
1996,16,25,25,60.26,0,0,0,0
1997,16,28.19,34.74,75,0,0,0,0
1998,16,0,25,75,100,0,0,100
1999,16,13.7,38.7,75,0,0,0,0
2000,16,2.09,25.21,60.6,100,0,0,100
2001,16,12.82,12.82,50,0,0,0,0
2002,16,0,25,75,100,0,0,100
2003,16,8.89,15.26,40.37,0,0,9.3,9.3
2004,16,9.58,9.58,35.02,0,0,23.02,23.02
2005,16,18.56,12.93,62.93,0,0,0,0
2006,16,0,25,75,100,0,0,100
2007,16,15.3,33.53,75,0,0,0,0
2008,16,4.19,8.51,52.61,100,0,0,100
2009,16,0,8.3,41.43,100,0,6.59,106.59
2010,16,0,0,50,100,0,0,100
2011,16,0,3.98,53.98,100,0,0,100
2012,16,10.98,10.98,50,0,0,0,0
2013,16,0,11.68,61.68,100,0,0,100
2014,16,0,2.86,52.86,100,0,0,100
2015,16,0,0,6.1,100,0,97.19,197.19
2016,16,25,25,50,0,0,0,0
2017,16,0,25,70.15,100,0,0,100
2018,16,8.14,25,53.47,0,0,0,0
2019,16,4.43,22.23,57.93,100,0,0,100
