"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,26.31,35.2,75,35.62,0,0,35.62
1984,16,75,50,75,0,0,0,0
1985,16,13.13,31.71,75,79.56,0,0,79.56
1986,16,46.89,50,75,0,0,0,0
1987,16,69.89,50,75,0,0,0,0
1988,16,63.2,38.2,75,0,0,0,0
1989,16,47.92,45.59,71.94,0,0,10.91,10.91
1990,16,9.21,29.11,71.6,92.63,0,12.13,104.76
1991,16,40.92,50,75,0,0,0,0
1992,16,24.82,33.8,70.88,40.61,0,14.71,55.32
1993,16,40.96,38.71,75,0,0,0,0
1994,16,75,50,75,0,0,0,0
1995,16,36.43,50,75,1.9,0,0,1.9
1996,16,56.37,31.37,75,0,0,0,0
1997,16,73.62,50,62.66,0,0,44.07,44.07
1998,16,59.69,50,75,0,0,0,0
1999,16,41.41,50,75,0,0,0,0
2000,16,15.89,34.36,75,70.36,0,0,70.36
2001,16,59.36,50,75,0,0,0,0
2002,16,45.64,50,75,0,0,0,0
2003,16,37,50,75,0,0,0,0
2004,16,23.66,29.13,58.37,44.45,0,59.4,103.85
2005,16,38.37,50,75,0,0,0,0
2006,16,55.17,50,75,0,0,0,0
2007,16,67.49,42.88,67.88,0,0,25.44,25.44
2008,16,68.77,50,75,0,0,0,0
2009,16,60.88,46.9,75,0,0,0,0
2010,16,42.63,32.43,75,0,0,0,0
2011,16,68.63,50,75,0,0,0,0
2012,16,49.1,50,75,0,0,0,0
2013,16,34.83,50,75,7.22,0,0,7.22
2014,16,43.38,50,72.54,0,0,8.8,8.8
2015,16,37.44,26.14,75,0,0,0,0
2016,16,47.27,50,75,0,0,0,0
2017,16,43.49,50,75,0,0,0,0
2018,16,68.11,43.11,75,0,0,0,0
2019,16,75,50,75,0,0,0,0
