"","MIXEDET"
"1983",21.1785334011627
"1984",0.679936699475839
"1985",24.5813899831884
"1986",11.1956028291456
"1987",40.1988883861786
"1988",22.6078003707081
"1989",16.5966522680672
"1990",-6.32580818016186
"1991",23.6415614959583
"1992",43.9082233739154
"1993",8.96794706004686
"1994",21.3733895519898
"1995",18.4172151075886
"1996",30.5913407536835
"1997",21.4673608136275
"1998",25.0520960109643
"1999",17.4689666717202
"2000",3.9
"2001",9.4
"2002",1.3
"2003",28
"2004",2.2
"2005",28.6
"2006",19.9
"2007",55.4
"2008",41
"2009",26.4
"2010",46.7
"2011",14.7
"2012",31.6
"2013",2.9
"2014",16
