Time,precipitation
21-31 Jul 1986,115.7525
1-10 Aug 1986,43.69746
11-20 Aug 1986,30.76395
21-31 Aug 1986,40.23319
1-10 Sep 1986,12.13178
11-20 Sep 1986,12.13206
21-30 Sep 1986,4.816813
1-10 Oct 1986,9.627254
11-20 Oct 1986,2.738193
21-31 Oct 1986,9.591454
1-10 Nov 1986,2.771812
11-20 Nov 1986,2.52062
21-30 Nov 1986,2.223967
1-10 Dec 1986,0.6780223
11-20 Dec 1986,0.1204859
21-31 Dec 1986,0.1791655
1-10 Jan 1987,0.5149181
11-20 Jan 1987,0.6247092
21-31 Jan 1987,0.8126007
1-10 Feb 1987,0.3653108
11-20 Feb 1987,0.7043418
21-28 Feb 1987,1.53399
1-10 Mar 1987,5.589469
11-20 Mar 1987,5.713976
21-31 Mar 1987,6.532739
1-10 Apr 1987,9.383089
11-20 Apr 1987,9.50721
21-30 Apr 1987,6.162532
1-10 May 1987,21.50344
11-20 May 1987,32.61864
21-31 May 1987,49.1903
1-10 Jun 1987,27.73083
11-20 Jun 1987,24.71115
21-30 Jun 1987,9.697487
1-10 Jul 1987,32.24325
11-20 Jul 1987,27.95282
21-31 Jul 1987,30.60433
1-10 Aug 1987,70.47997
11-20 Aug 1987,76.12291
21-31 Aug 1987,39.46539
1-10 Sep 1987,14.95208
11-20 Sep 1987,4.047109
21-30 Sep 1987,4.789294
1-10 Oct 1987,15.3532
11-20 Oct 1987,3.236123
21-31 Oct 1987,13.62492
1-10 Nov 1987,2.524321
11-20 Nov 1987,2.954922
21-30 Nov 1987,2.223967
1-10 Dec 1987,0.6780223
11-20 Dec 1987,0.1273964
21-31 Dec 1987,0.1775642
1-10 Jan 1988,0.5255653
11-20 Jan 1988,0.5129511
21-31 Jan 1988,0.8336571
1-10 Feb 1988,0.3653108
11-20 Feb 1988,1.960153
21-29 Feb 1988,1.60645
1-10 Mar 1988,5.537807
11-20 Mar 1988,5.715886
21-31 Mar 1988,6.532739
1-10 Apr 1988,9.383089
11-20 Apr 1988,9.50721
21-30 Apr 1988,9.033344
1-10 May 1988,14.90316
11-20 May 1988,8.422897
21-31 May 1988,8.982358
1-10 Jun 1988,15.4949
11-20 Jun 1988,12.78432
21-30 Jun 1988,16.40247
1-10 Jul 1988,56.11455
11-20 Jul 1988,91.56857
21-31 Jul 1988,156.0132
1-10 Aug 1988,60.99879
11-20 Aug 1988,61.36988
21-31 Aug 1988,57.26311
1-10 Sep 1988,10.11877
11-20 Sep 1988,22.57233
21-30 Sep 1988,10.95503
1-10 Oct 1988,12.68943
11-20 Oct 1988,7.066485
21-31 Oct 1988,3.327453
1-10 Nov 1988,2.524325
11-20 Nov 1988,2.936927
21-30 Nov 1988,2.223967
1-10 Dec 1988,0.6780223
11-20 Dec 1988,0.1273964
21-31 Dec 1988,0.1669606
1-10 Jan 1989,0.5216266
11-20 Jan 1989,0.8726723
21-31 Jan 1989,0.8336571
1-10 Feb 1989,0.4754086
11-20 Feb 1989,0.5050188
21-28 Feb 1989,1.543805
1-10 Mar 1989,5.537807
11-20 Mar 1989,5.659245
21-31 Mar 1989,15.00037
1-10 Apr 1989,9.383089
11-20 Apr 1989,15.05712
21-30 Apr 1989,9.033344
1-10 May 1989,8.572824
11-20 May 1989,11.50094
21-31 May 1989,8.982358
1-10 Jun 1989,12.20673
11-20 Jun 1989,12.78432
21-30 Jun 1989,12.07196
1-10 Jul 1989,48.16454
11-20 Jul 1989,64.94102
21-31 Jul 1989,53.26484
1-10 Aug 1989,62.06189
11-20 Aug 1989,51.40288
21-31 Aug 1989,45.06505
1-10 Sep 1989,12.72079
11-20 Sep 1989,9.50009
21-30 Sep 1989,8.630156
1-10 Oct 1989,4.442035
11-20 Oct 1989,10.04338
21-31 Oct 1989,3.327453
1-10 Nov 1989,2.524342
11-20 Nov 1989,2.954922
21-30 Nov 1989,2.223967
1-10 Dec 1989,1.427903
11-20 Dec 1989,0.1273964
21-31 Dec 1989,0.1791655
1-10 Jan 1990,0.5158161
11-20 Jan 1990,0.6247092
21-31 Jan 1990,0.8336571
1-10 Feb 1990,0.7059314
11-20 Feb 1990,1.641551
21-28 Feb 1990,1.313144
1-10 Mar 1990,12.5544
11-20 Mar 1990,5.659245
21-31 Mar 1990,6.532739
1-10 Apr 1990,9.383089
11-20 Apr 1990,9.50721
21-30 Apr 1990,30.13152
1-10 May 1990,8.572824
11-20 May 1990,8.422897
21-31 May 1990,8.982358
1-10 Jun 1990,12.20673
11-20 Jun 1990,12.78432
21-30 Jun 1990,16.40247
1-10 Jul 1990,47.73448
11-20 Jul 1990,57.73019
21-31 Jul 1990,53.26484
1-10 Aug 1990,33.32843
11-20 Aug 1990,25.51513
21-31 Aug 1990,39.96476
1-10 Sep 1990,15.66616
11-20 Sep 1990,4.144713
21-30 Sep 1990,7.814928
1-10 Oct 1990,4.442035
11-20 Oct 1990,3.236123
21-31 Oct 1990,3.327453
1-10 Nov 1990,2.78512
11-20 Nov 1990,2.936927
21-30 Nov 1990,2.223967
1-10 Dec 1990,0.6780223
11-20 Dec 1990,0.1273964
21-31 Dec 1990,0.1791655
1-10 Jan 1991,0.5216266
11-20 Jan 1991,0.6247092
21-31 Jan 1991,0.8336571
1-10 Feb 1991,0.3653108
11-20 Feb 1991,0.7436336
21-28 Feb 1991,1.554543
1-10 Mar 1991,5.537807
11-20 Mar 1991,5.659245
21-31 Mar 1991,6.532739
1-10 Apr 1991,34.08569
11-20 Apr 1991,9.50721
