"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,60.1,50,75,0,0,0,0
1984,16,50,50,75,0,0,0,0
1985,16,49.81,50,75,0,0,0,0
1986,16,54.28,50,75,0,0,0,0
1987,16,75,50,75,0,0,0,0
1988,16,62.1,37.1,75,0,0,0,0
1989,16,75,50,75,0,0,0,0
1990,16,19.76,38.03,68.27,77.9,0,33.65,111.55
1991,16,28.56,38.34,75,26.12,0,0,26.12
1992,16,33.67,46.37,75,0,0,0,0
1993,16,75,50,75,0,0,0,0
1994,16,44.69,50,75,0,0,0,0
1995,16,64.36,50,75,0,0,0,0
1996,16,75,50,75,0,0,0,0
1997,16,75,50,75,0,0,0,0
1998,16,71.24,50,75,0,0,0,0
1999,16,30.2,50,75,16.48,0,0,16.48
2000,16,25.6,50,75,43.52,0,0,43.52
2001,16,33.38,50,75,0,0,0,0
2002,16,29.84,31.9,75,18.61,0,0,18.61
2003,16,47.14,47.14,75,0,0,0,0
2004,16,27.49,40.28,68.79,32.43,0,31.06,63.49
2005,16,69.57,50,75,0,0,0,0
2006,16,55.71,50,75,0,0,0,0
2007,16,62.44,45.87,75,0,0,0,0
2008,16,71.28,50,75,0,0,0,0
2009,16,50,50,75,0,0,0,0
2010,16,72.53,49.29,75,0,0,0,0
2011,16,50,50,75,0,0,0,0
2012,16,34.18,50,75,0,0,0,0
2013,16,29.36,49.49,75,21.43,0,0,21.43
2014,16,50,50,75,0,0,0,0
2015,16,25,25,75,47.06,0,0,47.06
2016,16,57.46,50,75,0,0,0,0
2017,16,48,50,75,0,0,0,0
2018,16,63.98,50,75,0,0,0,0
2019,16,75,50,75,0,0,0,0
