"","MIXEDET"
"1983",47.4991336447894
"1984",121.070119450477
"1985",104.736022686151
"1986",100.948110898523
"1987",98.4342917518274
"1988",109.986222616834
"1989",105.794235993853
"1990",109.409226117214
"1991",69.2518971346925
"1992",65.2478332667289
"1993",92.3603955654825
"1994",134.529143528166
"1995",90.3107465328359
"1996",114.000150838411
"1997",62.6809193503527
"1998",66.8103559706958
"1999",75.2893815825835
"2000",87.5
"2001",54.6
"2002",54.1
"2003",98.9
"2004",68.1
"2005",109.4
"2006",110.9
"2007",112.9
"2008",103.3
"2009",100.2
"2010",106.4
"2011",108.9
"2012",99
"2013",104.6
"2014",104.3
