"","MIXEDET"
"1983",88.2283775989428
"1984",76.4056125248503
"1985",137.502838374
"1986",91.2274406003169
"1987",123.920057683821
"1988",87.9824399990783
"1989",119.614796521956
"1990",80.9812810065113
"1991",131.333255186202
"1992",114.447456978172
"1993",107.380782283853
"1994",62.1244863252894
"1995",108.122767339841
"1996",170.901638043085
"1997",110.711821577754
"1998",93.894527309164
"1999",109.894115706403
"2000",115
"2001",33
"2002",48.1
"2003",113.2
"2004",102.5
"2005",128
"2006",110.8
"2007",122.7
"2008",149
"2009",94.2
"2010",104.4
"2011",120.1
"2012",139.6
"2013",79.3
"2014",99.5
