"time","crop","value"
"1983","Barley",100
"1984","Barley",100
"1985","Barley",97
"1986","Barley",94
"1987","Barley",100
"1988","Barley",97
"1989","Barley",100
"1990","Barley",99
"1991","Barley",100
"1992","Barley",97
"1993","Barley",97
"1994","Barley",97
"1995","Barley",94
"1996","Barley",97
"1997","Barley",97
"1998","Barley",97
"1999","Barley",100
"2000","Barley",100
"2001","Barley",100
"2002","Barley",92
"2003","Barley",100
"2004","Barley",89
"2005","Barley",100
"2006","Barley",97
"2007","Barley",99
"2008","Barley",100
"2009","Barley",97
"2010","Barley",100
"2011","Barley",100
"2012","Barley",100
"2013","Barley",100
"2014","Barley",100
"2015","Barley",100
"2016","Barley",100
"2017","Barley",100
"2018","Barley",100
"1983","Maize",79
"1984","Maize",77
"1985","Maize",91
"1986","Maize",85
"1987","Maize",97
"1988","Maize",92
"1989","Maize",86
"1990","Maize",64
"1991","Maize",89
"1992","Maize",74
"1993","Maize",97
"1994","Maize",97
"1995","Maize",89
"1996","Maize",96
"1997","Maize",94
"1998","Maize",99
"1999","Maize",67
"2000","Maize",88
"2001","Maize",70
"2002","Maize",57
"2003","Maize",87
"2004","Maize",58
"2005","Maize",71
"2006","Maize",92
"2007","Maize",89
"2008","Maize",87
"2009","Maize",71
"2010","Maize",95
"2011","Maize",93
"2012","Maize",87
"2013","Maize",86
"2014","Maize",100
"2015","Maize",86
"2016","Maize",97
"2017","Maize",100
"2018","Maize",90
"1983","Sorghum",79
"1984","Sorghum",80
"1985","Sorghum",91
"1986","Sorghum",86
"1987","Sorghum",97
"1988","Sorghum",92
"1989","Sorghum",88
"1990","Sorghum",63
"1991","Sorghum",95
"1992","Sorghum",76
"1993","Sorghum",97
"1994","Sorghum",97
"1995","Sorghum",80
"1996","Sorghum",96
"1997","Sorghum",91
"1998","Sorghum",99
"1999","Sorghum",68
"2000","Sorghum",90
"2001","Sorghum",70
"2002","Sorghum",59
"2003","Sorghum",88
"2004","Sorghum",60
"2005","Sorghum",73
"2006","Sorghum",91
"2007","Sorghum",89
"2008","Sorghum",91
"2009","Sorghum",72
"2010","Sorghum",94
"2011","Sorghum",94
"2012","Sorghum",86
"2013","Sorghum",86
"2014","Sorghum",100
"2015","Sorghum",97
"2016","Sorghum",96
"2017","Sorghum",100
"2018","Sorghum",96
"1983","Teff",68
"1984","Teff",76
"1985","Teff",79
"1986","Teff",94
"1987","Teff",100
"1988","Teff",97
"1989","Teff",80
"1990","Teff",80
"1991","Teff",99
"1992","Teff",74
"1993","Teff",95
"1994","Teff",81
"1995","Teff",70
"1996","Teff",88
"1997","Teff",87
"1998","Teff",89
"1999","Teff",85
"2000","Teff",89
"2001","Teff",71
"2002","Teff",71
"2003","Teff",93
"2004","Teff",68
"2005","Teff",90
"2006","Teff",86
"2007","Teff",96
"2008","Teff",79
"2009","Teff",82
"2010","Teff",94
"2011","Teff",83
"2012","Teff",76
"2013","Teff",74
"2014","Teff",97
"2015","Teff",100
"2016","Teff",98
"2017","Teff",83
"2018","Teff",99
"1983","Wheat",67
"1984","Wheat",75
"1985","Wheat",78
"1986","Wheat",94
"1987","Wheat",100
"1988","Wheat",97
"1989","Wheat",78
"1990","Wheat",78
"1991","Wheat",97
"1992","Wheat",73
"1993","Wheat",94
"1994","Wheat",80
"1995","Wheat",69
"1996","Wheat",86
"1997","Wheat",85
"1998","Wheat",88
"1999","Wheat",83
"2000","Wheat",87
"2001","Wheat",70
"2002","Wheat",69
"2003","Wheat",92
"2004","Wheat",67
"2005","Wheat",88
"2006","Wheat",85
"2007","Wheat",94
"2008","Wheat",78
"2009","Wheat",80
"2010","Wheat",92
"2011","Wheat",82
"2012","Wheat",75
"2013","Wheat",73
"2014","Wheat",95
"2015","Wheat",100
"2016","Wheat",96
"2017","Wheat",82
"2018","Wheat",98
