"","MIXEDET"
"1983",4.00745983085143
"1984",8.33404195649234
"1985",32.3018948334865
"1986",41.3588127822211
"1987",-0.642705460026377
"1988",51.7651046766128
"1989",58.9349768707219
"1990",-1.97882872603123
"1991",4.51541561858761
"1992",31.6109777382436
"1993",39.8267911546111
"1994",53.5286211661956
"1995",22.7009541583172
"1996",27.0623487204411
"1997",8.27982393886178
"1998",72.1097199357823
"1999",44.7363247785647
"2000",12.8
"2001",6.2
"2002",2
"2003",45.6
"2004",7.2
"2005",47.8
"2006",54.8
"2007",70.5
"2008",49.5
"2009",36.2
"2010",58.1
"2011",15
"2012",29.3
"2013",39.3
"2014",49
