"year","crop","value"
"1983","Barley",81.13474
"1983","Maize",96.49339
"1983","Sorghum",96.47211
"1983","Teff",95.98582
"1983","Wheat",91.26151
"1984","Barley",75.53288
"1984","Maize",64.78664
"1984","Sorghum",68.57521
"1984","Teff",82.77255
"1984","Wheat",82.67977
"1985","Barley",93.15502
"1985","Maize",87.76257
"1985","Sorghum",89.48757
"1985","Teff",95.97144
"1985","Wheat",95.71774
"1986","Barley",99.85919
"1986","Maize",96.19113
"1986","Sorghum",96.77528
"1986","Teff",99.97184
"1986","Wheat",99.88734
"1987","Barley",69.68256
"1987","Maize",85.1834
"1987","Sorghum",81.19042
"1987","Teff",87.03442
"1987","Wheat",78.34451
"1988","Barley",95.20461
"1988","Maize",85.67016
"1988","Sorghum",79.75301
"1988","Teff",95.6767
"1988","Wheat",95.99331
"1989","Barley",94.22594
"1989","Maize",90.65723
"1989","Sorghum",90.4036
"1989","Teff",99.19701
"1989","Wheat",98.60534
"1990","Barley",93.83698
"1990","Maize",65.65343
"1990","Sorghum",70.94973
"1990","Teff",99.19701
"1990","Wheat",98.32369
"1991","Barley",92.46254
"1991","Maize",89.03378
"1991","Sorghum",88.01183
"1991","Teff",97.67545
"1991","Wheat",97.28093
"1992","Barley",84.0264
"1992","Maize",78.22591
"1992","Sorghum",77.62757
"1992","Teff",95.96366
"1992","Wheat",91.20255
"1993","Barley",99.58452
"1993","Maize",99.37354
"1993","Sorghum",98.64794
"1993","Teff",99.97888
"1993","Wheat",99.8662
"1994","Barley",96.61928
"1994","Maize",92.35893
"1994","Sorghum",94.10511
"1994","Teff",98.11927
"1994","Wheat",97.60509
"1995","Barley",77.95614
"1995","Maize",82.41869
"1995","Sorghum",77.74606
"1995","Teff",89.4859
"1995","Wheat",86.75181
"1996","Barley",85.95753
"1996","Maize",91.15491
"1996","Sorghum",91.74642
"1996","Teff",96.22488
"1996","Wheat",95.81653
"1997","Barley",99.57742
"1997","Maize",99.80279
"1997","Sorghum",99.68305
"1997","Teff",99.57051
"1997","Wheat",99.76054
"1998","Barley",98.04973
"1998","Maize",98.92284
"1998","Sorghum",99.18331
"1998","Teff",97.73988
"1998","Wheat",98.437
"1999","Barley",98.5982
"1999","Maize",92.92395
"1999","Sorghum",93.18417
"1999","Teff",98.01375
"1999","Wheat",98.67564
"2000","Barley",96.33017
"2000","Maize",91.6545
"2000","Sorghum",89.17601
"2000","Teff",98.86591
"2000","Wheat",98.57016
"2001","Barley",91.77435
"2001","Maize",75.13413
"2001","Sorghum",73.44355
"2001","Teff",97.33152
"2001","Wheat",98.37314
"2002","Barley",80.8791
"2002","Maize",64.71095
"2002","Sorghum",62.2955
"2002","Teff",90.89405
"2002","Wheat",90.61906
"2003","Barley",87.37996
"2003","Maize",63.36653
"2003","Sorghum",59.28267
"2003","Teff",96.33076
"2003","Wheat",96.46454
"2004","Barley",72.22379
"2004","Maize",66.88176
"2004","Sorghum",67.42953
"2004","Teff",84.85839
"2004","Wheat",82.28053
"2005","Barley",88.55021
"2005","Maize",79.29025
"2005","Sorghum",76.57906
"2005","Teff",97.57124
"2005","Wheat",97.12737
"2006","Barley",96.69805
"2006","Maize",78.40257
"2006","Sorghum",77.26978
"2006","Teff",99.18315
"2006","Wheat",97.43705
"2007","Barley",99.2887
"2007","Maize",99.81701
"2007","Sorghum",99.80288
"2007","Teff",99.17623
"2007","Wheat",100
"2008","Barley",94.83124
"2008","Maize",97.83819
"2008","Sorghum",99.09151
"2008","Teff",98.95775
"2008","Wheat",99.82393
"2009","Barley",99.07755
"2009","Maize",81.75629
"2009","Sorghum",76.04534
"2009","Teff",99.8662
"2009","Wheat",99.48593
"2010","Barley",90.08371
"2010","Maize",90.37395
"2010","Sorghum",92.99368
"2010","Teff",92.8102
"2010","Wheat",94.78889
"2011","Barley",83.38557
"2011","Maize",75.48557
"2011","Sorghum",76.61233
"2011","Teff",92.03302
"2011","Wheat",91.56184
"2012","Barley",96.73231
"2012","Maize",75.52182
"2012","Sorghum",71.67665
"2012","Teff",99.99296
"2012","Wheat",98.47162
"2013","Barley",94.28175
"2013","Maize",87.44363
"2013","Sorghum",89.55787
"2013","Teff",95.58485
"2013","Wheat",95.29617
"2014","Barley",98.91528
"2014","Maize",99.93661
"2014","Sorghum",99.86619
"2014","Teff",100
"2014","Wheat",99.36607
"2015","Barley",91.9594
"2015","Maize",85.23372
"2015","Sorghum",84.89566
"2015","Teff",98.59187
"2015","Wheat",96.72623
"2016","Barley",97.15477
"2016","Maize",93.36674
"2016","Sorghum",98.88748
"2016","Teff",96.45078
"2016","Wheat",98.92276
"2017","Barley",92.93655
"2017","Maize",98.08482
"2017","Sorghum",96.60574
"2017","Teff",95.90156
"2017","Wheat",95.94372
"2018","Barley",95.33018
"2018","Maize",95.23881
"2018","Sorghum",96.05566
"2018","Teff",99.28858
"2018","Wheat",99.86618
