"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3295166,0.1096814,0.2099221,0.3648403,0.242488,0.5183116,0.2415698,0.2783998,0.3150529,0.3838361,0.3142256,0.1826733,0.1992464,0.233667,0.3278587,0.434312,0.4490678,0.2888633,0.3652793,0.3426839,0.3714205,0.2189443,0.3099168,0.3317907,0.3367875,0.3077465
"Aug",0.5008997,0.3550782,0.3414268,0.3377033,0.4961688,0.5280012,0.3585007,0.4449415,0.5267698,0.5299398,0.441893,0.4203852,0.43446,0.5120098,0.513431,0.4522196,0.524677,0.4533157,0.5152843,0.4600768,0.5255509,0.5065992,0.5544689,0.5251339,0.4904525,0.456858
"Sep",0.5456483,0.4869967,0.5514703,0.3170188,0.5272827,0.5610536,0.5025688,0.546137,0.4999844,0.5020733,0.4452324,0.4915019,0.4576193,0.6772388,0.5484054,0.4643803,0.3732793,0.5318162,0.5368921,0.4480737,0.5841277,0.5067798,0.4996631,0.5124541,0.5310073,0.5459617
"Oct",0.5243138,0.5770435,0.4968244,0.3215289,0.4824529,0.4602132,0.3950008,0.4460228,0.4400374,0.5159836,0.3940035,0.5208032,0.4135435,0.6031491,0.4247636,0.4296237,0.3900973,0.4745858,0.4889781,0.434974,0.4689818,0.4710486,0.4721878,0.4464433,0.476936,0.4799283
"Nov",0.4025701,0.4385507,0.4494212,0.2450641,0.3994496,0.354517,0.3320853,0.3951805,0.3708689,0.3410455,0.3360556,0.4606919,0.3678992,0.437113,0.3580349,0.3474498,0.4073768,0.4588853,0.4630622,0.5165148,0.400374,0.3749117,0.3945005,0.3417816,0.3686262,0.3904265
"Dec",0.2987556,0.332845,0.3433845,0.195761,0.3024063,0.2902589,0.2506075,0.3691902,0.2599161,0.2859932,0.2760653,0.3443163,0.3049771,0.3578861,0.2778527,0.2927912,0.3780403,0.4056928,0.3489857,0.429053,0.3456103,0.2975652,0.3261268,0.2792433,0.311073,0.3092621
"Jan",,0.2184203,0.2388791,0.2394298,0.1981081,0.2504492,0.2326032,0.2355929,0.3040479,0.2702155,0.2277426,0.2076428,0.2654197,0.2291169,0.2900764,0.2189276,0.2244797,0.2867053,0.3060871,0.2720734,0.3298045,0.2606365,0.2518645,0.2495095,0.2542481,0.251624
"Feb",,0.1813938,0.1735926,0.228719,0.1658381,0.2017617,0.1964354,0.1732467,0.2448091,0.183172,0.2013936,0.1689761,0.1717652,0.1935568,0.2298778,0.2060346,0.2162484,0.1996948,0.2634297,0.2366943,0.2671228,0.2574389,0.2202245,0.2268504,0.225097,0.2049585
"Mar",,0.1808366,0.1386767,0.1894196,0.1687027,0.1842696,0.2083859,0.1932577,0.2084252,0.1811793,0.182033,0.1807317,0.1815003,0.1266356,0.2067921,0.173142,0.1772308,0.1889076,0.2183847,0.2124452,0.235918,0.2184781,0.2330117,0.2040517,0.2199758,0.2025148
"Apr",,0.1755125,0.1788497,0.1798572,0.1547066,0.2053564,0.2814237,0.1669642,0.2495417,0.1724071,0.1706421,0.1672685,0.2112411,0.1410047,0.1887821,0.2177462,0.2173495,0.1806599,0.1948334,0.1710873,0.3054208,0.2363644,0.2407017,0.1827486,0.2277426,0.2034821
"May",,0.1900804,0.3184506,0.1936579,0.1641814,0.2142967,0.2251524,0.1175907,0.2615758,0.1607972,0.1174938,0.1846306,0.3792,0.1078429,0.2397033,0.2526467,0.1861233,0.1601327,0.1476581,0.2897887,0.2403568,0.2044892,0.1917621,0.1916194,0.2749449,0.225693
"Jun",,0.1669043,0.3788655,0.335074,0.1626071,0.2116552,0.2803968,0.1386981,0.2146658,0.1507341,0.1498105,0.1612603,0.3021118,0.114162,0.2213806,0.3964377,0.2261942,0.2021105,0.1630099,0.2041508,0.188667,0.1556137,0.1593913,0.1979768,0.2414717,0.2028514
