"year","MIXEDET"
1983,37.0832729915828
1984,36.7763947941894
1985,40.3173783317546
1986,50.6411590150316
1987,38.8076471999353
1988,43.3123623054442
1989,45.0749147232724
1990,41.4385929505444
1991,40.7468295440923
1992,44.2169201245898
1993,44.2905530655629
1994,43.700664241421
1995,44.38465335619
1996,37.9237713074966
1997,32.4776901653192
1998,52.1342191604392
1999,46.1882725207433
2000,48.72522
2001,35.3301
2002,35.55413
2003,43.96352
2004,47.92853
2005,46.8091
2006,46.89016
2007,43.38485
2008,45.78457
2009,44.67495
2010,45.23489
2011,41.80901
2012,40.27427
2013,47.2319918116092
2014,57.11897
