"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",20.12405,22.568,22.10044,22.36522,24.52317,21.92785,23.00751,25.95491,23.67716,26.21402,27.87343,23.93727,21.19658,24.64826,23.34528,22.45513,27.16228,25.15724,26.33536,23.79229,23.2631,23.51988,24.247,23.10132,23.89441,23.12187,24.00168,23.57297,22.83543,24.28489,22.06314
"Feb",20.08746,20.97338,19.47783,21.83953,25.69057,23.06267,25.55124,23.38545,20.6691,23.89303,24.59776,24.30992,20.95336,24.72744,23.38554,22.1522,23.65323,23.90843,24.99858,26.06309,22.30426,21.60869,22.43964,23.4911,21.02986,23.00131,20.4984,23.85,18.41004,24.60846,21.8109
"Mar",28.5481,30.88589,25.75153,29.03818,30.5794,26.98645,29.4333,27.10859,32.81457,29.22133,34.35255,30.98951,29.70404,33.95046,30.18745,27.82976,31.84533,34.329,37.38935,35.0546,30.93969,32.97969,30.53252,33.79548,32.88654,31.3026,30.78246,30.37221,26.32596,31.81427,29.56077
"Apr",31.31215,32.8011,27.47109,30.7823,35.25674,27.82381,33.00471,27.57271,30.72302,32.65443,40.90236,32.84756,37.17876,38.88462,32.36913,34.63526,37.44728,42.19497,39.21505,37.91913,38.16507,35.63635,38.46054,37.05299,35.52967,33.93328,35.74051,35.27803,37.13851,34.39122,34.63815
"May",33.10723,38.10496,31.33234,35.27259,37.88728,30.80714,38.90335,29.91676,35.88382,38.65993,50.79697,37.49841,39.36333,39.12764,39.42215,36.89249,40.87935,47.5715,45.44972,39.09435,39.35513,37.68212,42.53931,40.18125,41.60213,38.34283,39.10408,43.32497,41.76819,38.30249,34.88916
"Jun",35.24226,46.46771,39.6988,33.43668,40.31883,33.72604,39.33426,32.68805,37.87675,38.63995,46.90969,45.641,39.37769,40.9392,41.91843,36.23019,38.70893,46.76897,46.53355,38.07881,39.94231,39.47649,39.76624,40.87498,39.02004,43.45022,39.1527,40.00025,52.28079,44.99141,41.87159
"Jul",44.42625,50.11613,45.52073,48.94997,53.82001,36.92924,43.69558,38.45714,42.6163,54.43847,49.4067,39.31629,45.7457,44.76971,54.23981,44.32881,56.03436,56.19109,53.35351,49.49419,49.01821,51.50988,53.62815,50.10876,56.20076,53.44364,54.01258,47.95177,64.58319,56.08179,56.88992
"Aug",51.84649,65.92542,58.50734,61.17651,60.19794,54.50404,64.80533,60.92751,56.92989,48.12207,64.02844,55.93507,63.54142,50.06302,62.94516,51.79617,65.23331,59.39341,57.94505,53.94755,56.18719,61.19268,67.8092,62.18643,67.3232,65.06459,72.0845,52.93799,64.84301,69.21669,59.71026
"Sep",66.1142,59.03002,63.30467,68.43723,62.67302,59.35564,62.21279,56.91602,63.76964,64.38679,67.86436,67.55755,67.74831,63.46221,60.58117,70.82556,67.75983,65.21214,58.87586,54.39931,57.9433,56.42317,59.15891,67.10541,66.57405,57.76164,66.46121,68.11495,71.35246,71.68888,69.48221
"Oct",50.47265,50.28673,52.43201,58.6866,51.51735,54.2465,55.31433,53.11129,52.69219,54.79452,54.83913,54.48175,54.89614,50.98186,47.68239,59.59116,55.98885,55.84663,54.2485,52.92935,56.13699,53.62444,54.96264,56.84221,57.16148,51.75669,55.25993,57.65731,55.21273,56.13723,56.62118
"Nov",37.00216,31.33953,37.54605,37.90877,35.27488,37.16321,38.96124,35.78847,35.83998,41.02137,39.05452,36.468,38.29001,36.7354,38.16127,40.96033,41.84798,43.79232,37.63108,33.52881,37.86612,37.04187,39.47051,41.34225,38.49279,38.74088,38.77834,37.18064,37.44525,37.31023,39.14491
"Dec",30.5081,23.07912,27.30604,29.28729,27.62266,28.02262,26.10092,28.46339,26.86626,34.44247,29.41673,28.29733,29.09248,28.72371,29.3604,31.41764,32.50901,31.90944,28.48033,25.95549,27.5478,26.72094,29.65718,30.69088,29.59361,29.51343,27.76046,28.89481,29.16533,27.28045,29.21107
