"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",4.076462,3.648459,2.932892,2.763891,8.848052,5.293686,4.529739,5.628687,3.355218,6.610888,5.722605
"Feb",5.143131,2.856966,3.077115,1.882137,3.635515,5.058214,3.771752,6.714954,2.838141,3.996589,7.882541
"Mar",7.925788,5.790682,9.73606,5.886495,16.08184,10.10242,10.76886,12.53041,7.504804,8.055236,12.21532
"Apr",22.88361,15.89027,17.86941,24.00921,23.14749,24.28636,18.45875,22.9054,13.96295,21.41728,19.4902
"May",25.56703,32.99895,18.3492,36.2825,30.01555,26.97688,26.79982,38.04065,30.68132,46.91327,40.65214
"Jun",41.1881,45.17966,22.84657,33.33871,40.56186,30.7452,35.11264,39.18763,34.94888,41.13528,37.23857
"Jul",74.1487,62.85811,62.95384,59.9224,63.1665,69.0131,69.28703,52.98176,50.99055,70.44193,63.04142
"Aug",64.20041,68.47095,66.40131,78.06401,71.85264,68.80966,74.10287,66.72484,58.71454,75.85554,71.04371
"Sep",45.4311,44.94023,35.41652,53.33478,52.0775,41.97162,47.88488,47.56721,45.90288,46.33366,49.64228
"Oct",20.88545,18.36519,22.41611,22.53364,21.87716,17.99901,30.34509,26.88965,19.33484,27.76017,29.49098
"Nov",7.214581,24.21692,9.94471,11.07538,24.30907,13.0076,15.90382,11.71662,16.31382,15.35336,19.0095
"Dec",3.718759,6.835351,6.123981,9.967404,10.6719,5.944233,8.220796,6.917838,12.29169,8.817097,9.805664
