Time,NDVI
Jul 1981,0.2576613
Jul 1982,0.1848387
Jul 1983,0.2574194
Jul 1984,0.3576775
Jul 1985,0.3218549
Jul 1986,0.4118871
Jul 1987,0.2829355
Jul 1988,0.2199355
Jul 1989,0.279242
Jul 1990,0.3421935
Jul 1991,0.2731129
Jul 1992,0.2304678
Jul 1993,0.2673548
Jul 1994,0.2730968
Jul 1995,0.2251774
Jul 1996,0.2891936
Jul 1997,0.3580968
Jul 1998,0.2786613
Jul 1999,0.190129
Jul 2000,0.2030323
Jul 2001,0.2731774
Jul 2002,0.183129
Jul 2003,0.1693065
Jul 2004,0.2213548
Jul 2005,0.3083065
Jul 2006,0.2665968
