"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,26.22,8.15,49.56,0,0,0,0
1984,16,10.55,13.45,33.32,0,0,0,0
1985,16,10.29,27.97,73.93,0,0,0,0
1986,16,26.25,32.23,57.23,0,0,0,0
1987,16,32.38,11.67,11.19,0,0,90.5,90.5
1988,16,4.5,9.79,59.79,100,0,0,100
1989,16,0.18,3.68,28.68,100,0,14.45,114.45
1990,16,0,10.74,49.76,100,0,0,100
1991,16,5.03,30.03,56.55,0,0,0,0
1992,16,0,0,50,100,0,0,100
1993,16,39.87,50,64.68,0,0,0,0
1994,16,29.01,45.57,75,0,0,0,0
1995,16,3.42,28.42,75,100,0,0,100
1996,16,31.16,14.24,57.25,0,0,0,0
1997,16,21,27.62,53.55,0,0,0,0
1998,16,30.38,48.05,68.98,0,0,0,0
1999,16,0.67,25,75,100,0,0,100
2000,16,32.47,32.21,40.88,0,0,0,0
2001,16,0,0,45.63,100,0,0,100
2002,16,4.02,0,19.96,100,0,52.34,152.34
2003,16,13.45,10.78,24.49,0,0,32.65,32.65
2004,16,2.26,4.32,29.72,100,0,9.91,109.91
2005,16,0,12.61,50.33,100,0,0,100
2006,16,21.34,21.57,28.64,0,0,14.63,14.63
2007,16,10.76,30.13,75,0,0,0,0
2008,16,3.38,14,57.85,100,0,0,100
2009,16,0,4.88,38.6,100,0,0,100
2010,16,0,25,75,100,0,0,100
2011,16,25.45,6.71,40.16,0,0,0,0
2012,16,11.14,24.59,38.45,0,0,0,0
2013,16,0.39,4.86,54.86,100,0,0,100
2014,16,7.1,4.53,50,0,0,0,0
2015,16,29.03,12.28,30.43,0,0,6.83,6.83
2016,16,12.48,14.58,60.1,0,0,0,0
2017,16,1.3,26.3,31.03,100,0,4.2,104.2
2018,16,4.4,29.4,75,100,0,0,100
2019,16,0,0,25.4,100,0,28.69,128.69
