Time,HainET30Y Evapotranspiration
Jul 1983,23.34575
Jul 1984,18.69351
Jul 1985,21.97859
Jul 1986,22.06746
Jul 1987,29.24653
Jul 1988,21.42747
Jul 1989,17.71828
Jul 1990,12.20975
Jul 1991,23.4926
Jul 1992,28.43478
Jul 1993,18.69261
Jul 1994,20.56663
Jul 1995,27.74805
Jul 1996,20.46688
Jul 1997,21.66789
Jul 1998,18.33599
Jul 1999,22.59691
Jul 2000,31.01087
Jul 2001,21.89604
Jul 2002,25.96245
Jul 2003,23.84136
Jul 2004,31.40087
Jul 2005,21.64617
Jul 2006,22.66588
Jul 2007,22.24042
Jul 2008,21.31279
Jul 2009,16.72445
Jul 2010,14.70541
Jul 2011,21.11316
Jul 2012,30.52171
Jul 2013,14.28351
