"year","MIXEDET"
1983,50.6291898113409
1984,50.7131487838625
1985,56.0583512997851
1986,58.5812920043761
1987,36.019410856214
1988,63.3046864160885
1989,70.2291185489743
1990,61.7292111751738
1991,51.7232428020663
1992,51.4084592280444
1993,57.5092646864685
1994,56.4890477580303
1995,52.5671431071899
1996,50.9512596559162
1997,44.6187396698174
1998,75.1079719392874
1999,62.0190490061178
2000,76.76615
2001,48.44006
2002,46.4724
2003,59.70047
2004,56.1711
2005,61.69505
2006,64.74253
2007,57.7473
2008,57.07864
2009,60.63615
2010,56.5579
2011,48.79677
2012,55.21231
2013,63.0478592841782
2014,68.16263
