"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",4.336782,10.108,7.29643,6.229765,7.621253,10.22919,8.44381,8.63033,7.147606,5.792299,11.5633
"Feb",6.055245,10.43989,7.850448,6.253827,7.933396,11.96156,10.74098,10.71479,9.161033,7.563221,12.45163
"Mar",10.95936,17.45548,11.92552,10.25312,20.08748,19.05751,16.54163,13.09606,13.55128,12.34906,15.87361
"Apr",20.59652,26.5646,18.8048,21.39112,24.01499,26.73642,22.55428,22.8646,19.62728,22.72346,23.97089
"May",25.7327,28.16043,21.05702,36.46369,29.35475,26.05636,27.3623,34.07192,30.27963,44.16563,38.67694
"Jun",42.1705,42.89442,31.82473,38.54218,41.28923,37.04425,40.01486,39.44131,39.12129,39.22064,39.74533
"Jul",75.21272,63.49084,66.53468,60.77105,63.82276,74.18562,71.286,58.36241,55.98459,70.08938,63.06708
"Aug",71.11124,72.4981,71.0635,79.23919,75.62202,75.48177,80.01849,71.28339,64.47521,79.00178,76.30689
"Sep",50.6703,48.98023,38.92838,56.73008,48.51506,45.82842,49.63941,49.31228,45.64191,48.86927,52.57794
"Oct",17.96594,16.63538,17.18563,18.37611,15.04006,18.74647,23.21133,22.35757,15.41436,20.86872,22.41854
"Nov",6.984545,21.78746,7.829446,9.805645,24.16669,8.961829,10.28873,9.443418,11.10463,13.52341,14.63674
"Dec",8.023605,7.844148,6.971427,9.571531,13.28646,7.879379,7.809844,7.320552,8.060434,12.09896,12.49365
