"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.4476978,0.2460259,0.405898,0.4808277,0.45761,0.5299,0.316476,0.310155,0.3819476,0.5322078,0.4585598,0.3482117,0.4109527,0.3756534,0.4664177,0.506967,0.5426235,0.3638856,0.3830517,0.3822966,0.5696285,0.4095581,0.4294985,0.4892786,0.4548451,0.3995059
"Aug",0.6380429,0.504373,0.5238383,0.5158032,0.6542763,0.5495639,0.4988784,0.6649083,0.575109,0.6657342,0.6169471,0.5340832,0.5095111,0.5822697,0.6232445,0.5340672,0.6416007,0.5375857,0.6267493,0.5623463,0.6595536,0.6295999,0.6706988,0.6399225,0.6532849,0.5587712
"Sep",0.6618881,0.6525258,0.6053254,0.4805122,0.6967977,0.5931981,0.5863684,0.7357916,0.6532678,0.6931601,0.6626032,0.67233,0.5235502,0.7037588,0.6757663,0.5574468,0.6214944,0.6356229,0.6390383,0.610552,0.6973773,0.7105375,0.6724419,0.6542154,0.689785,0.6712856
"Oct",0.6652763,0.6624619,0.5526464,0.4632739,0.6197689,0.5177822,0.5091628,0.6526048,0.6281302,0.6608244,0.6022983,0.6719912,0.5734197,0.6822231,0.562689,0.4942918,0.5338494,0.6213076,0.618694,0.6152753,0.6125891,0.6080471,0.6382051,0.6035865,0.6208764,0.6350172
"Nov",0.5209179,0.5635466,0.519682,0.3615606,0.4970901,0.3860122,0.4429298,0.5363367,0.5381687,0.5096487,0.5016814,0.5448815,0.5390771,0.5358076,0.4199469,0.4056779,0.5027053,0.5882248,0.6143523,0.607462,0.5002965,0.4613725,0.4970249,0.4610344,0.4706595,0.519247
"Dec",0.4064666,0.4333745,0.4109793,0.3217339,0.3631725,0.291299,0.3663835,0.4331885,0.4027916,0.4444588,0.4298364,0.4011836,0.4686133,0.4424077,0.3187833,0.3220859,0.453507,0.4736938,0.4691191,0.4906663,0.4195598,0.3581217,0.3939533,0.3682702,0.3973871,0.4133918
"Jan",,0.3064659,0.3376052,0.3051203,0.3043689,0.2856963,0.2148646,0.3472975,0.3435624,0.3612395,0.3661845,0.3402551,0.307724,0.3746413,0.3656021,0.2441664,0.2671562,0.319483,0.3634973,0.3693459,0.3921466,0.3451588,0.3181361,0.3104456,0.3248652,0.3231738
"Feb",,0.2447322,0.2290416,0.2979382,0.2465777,0.2327315,0.1813219,0.28577,0.2678271,0.2601939,0.3145721,0.2759388,0.2091986,0.3115352,0.3123873,0.2120764,0.2760127,0.2285708,0.3195815,0.3195378,0.3264154,0.312166,0.2827872,0.2851438,0.2760836,0.2524492
"Mar",,0.2152884,0.1698375,0.2435989,0.2512783,0.224766,0.2645488,0.3128138,0.2604927,0.2647251,0.2760463,0.2791403,0.1761114,0.2615706,0.296111,0.1889716,0.2171382,0.2412133,0.2509725,0.2776974,0.2861397,0.2655789,0.2663997,0.250182,0.2737646,0.252154
"Apr",,0.1886635,0.2179416,0.2045732,0.2640485,0.2798446,0.4397762,0.2831214,0.3871645,0.2553017,0.2671214,0.293075,0.1843204,0.2514311,0.2996052,0.2922648,0.2740229,0.2505105,0.2384968,0.2288381,0.3448528,0.2881241,0.244274,0.2370113,0.315456,0.3225474
"May",,0.2222516,0.3020281,0.1872412,0.3597033,0.2713961,0.3218677,0.2326542,0.3029417,0.227349,0.2176388,0.3068967,0.4192799,0.2389646,0.3240558,0.328486,0.249528,0.2774779,0.1860067,0.297431,0.308219,0.2573623,0.2200301,0.2553363,0.3459607,0.336463
"Jun",,0.257988,0.4537041,0.399592,0.3270032,0.2699287,0.3374125,0.2230327,0.27838,0.2340732,0.2635146,0.2861976,0.4493007,0.1720857,0.310802,0.4756996,0.3378939,0.309783,0.1968294,0.2387645,0.3726516,0.2283189,0.1986175,0.2541813,0.2855821,0.2658765
