"year","crop","value"
"1983","Barley",90.63335
"1983","Maize",99.923
"1983","Sorghum",99.93163
"1983","Teff",96.64764
"1983","Wheat",98.52991
"1984","Barley",95.8567
"1984","Maize",89.42237
"1984","Sorghum",87.73
"1984","Teff",97.96695
"1984","Wheat",99.00057
"1985","Barley",94.04295
"1985","Maize",96.92296
"1985","Sorghum",97.07682
"1985","Teff",94.17933
"1985","Wheat",93.33249
"1986","Barley",98.51244
"1986","Maize",98.60679
"1986","Sorghum",98.11943
"1986","Teff",98.15346
"1986","Wheat",98.43546
"1987","Barley",83.40369
"1987","Maize",96.39321
"1987","Sorghum",95.59885
"1987","Teff",90.58267
"1987","Wheat",93.77937
"1988","Barley",99.69211
"1988","Maize",94.20607
"1988","Sorghum",89.31691
"1988","Teff",99.53829
"1988","Wheat",99.64948
"1989","Barley",99.25631
"1989","Maize",98.72624
"1989","Sorghum",99.68373
"1989","Teff",98.87143
"1989","Wheat",99.25631
"1990","Barley",98.41787
"1990","Maize",77.965
"1990","Sorghum",78.33325
"1990","Teff",99.7692
"1990","Wheat",99.43564
"1991","Barley",96.9213
"1991","Maize",95.74416
"1991","Sorghum",99.24787
"1991","Teff",98.76862
"1991","Wheat",97.7851
"1992","Barley",92.49802
"1992","Maize",86.71083
"1992","Sorghum",83.06079
"1992","Teff",97.15372
"1992","Wheat",94.35912
"1993","Barley",97.56419
"1993","Maize",98.05119
"1993","Sorghum",98.02554
"1993","Teff",97.43591
"1993","Wheat",97.56419
"1994","Barley",96.56389
"1994","Maize",97.09387
"1994","Sorghum",96.85455
"1994","Teff",96.08489
"1994","Wheat",96.97414
"1995","Barley",94.5477
"1995","Maize",94.36789
"1995","Sorghum",90.48859
"1995","Teff",92.81212
"1995","Wheat",97.2222
"1996","Barley",95.45297
"1996","Maize",98.8972
"1996","Sorghum",98.64095
"1996","Teff",96.53805
"1996","Wheat",97.66615
"1997","Barley",98.58931
"1997","Maize",99.46124
"1997","Sorghum",99.05098
"1997","Teff",98.20482
"1997","Wheat",99.02533
"1998","Barley",100
"1998","Maize",99.38481
"1998","Sorghum",99.38477
"1998","Teff",99.97433
"1998","Wheat",100
"1999","Barley",98.65839
"1999","Maize",94.41859
"1999","Sorghum",93.70072
"1999","Teff",98.89787
"1999","Wheat",98.68403
"2000","Barley",99.43552
"2000","Maize",93.44477
"2000","Sorghum",93.15375
"2000","Teff",99.35001
"2000","Wheat",100
"2001","Barley",95.36646
"2001","Maize",91.61782
"2001","Sorghum",91.28464
"2001","Teff",95.81892
"2001","Wheat",99.72632
"2002","Barley",88.65749
"2002","Maize",69.32531
"2002","Sorghum",65.53838
"2002","Teff",96.99934
"2002","Wheat",97.22042
"2003","Barley",95.89657
"2003","Maize",75.87437
"2003","Sorghum",70.40375
"2003","Teff",98.1184
"2003","Wheat",99.33289
"2004","Barley",92.10207
"2004","Maize",71.41171
"2004","Sorghum",72.53172
"2004","Teff",98.15383
"2004","Wheat",97.52039
"2005","Barley",97.41754
"2005","Maize",86.17058
"2005","Sorghum",86.24785
"2005","Teff",99.44408
"2005","Wheat",98.52039
"2006","Barley",98.56373
"2006","Maize",96.69288
"2006","Sorghum",95.93238
"2006","Teff",98.88016
"2006","Wheat",97.58041
"2007","Barley",100
"2007","Maize",100
"2007","Sorghum",100
"2007","Teff",99.97433
"2007","Wheat",100
"2008","Barley",99.19621
"2008","Maize",100
"2008","Sorghum",99.28233
"2008","Teff",99.20475
"2008","Wheat",99.69212
"2009","Barley",98.92238
"2009","Maize",98.25675
"2009","Sorghum",93.08601
"2009","Teff",99.97437
"2009","Wheat",99.89736
"2010","Barley",96.28233
"2010","Maize",94.66724
"2010","Sorghum",96.64983
"2010","Teff",95.0685
"2010","Wheat",96.48734
"2011","Barley",97.07829
"2011","Maize",90.5493
"2011","Sorghum",88.60071
"2011","Teff",97.53
"2011","Wheat",99.95729
"2012","Barley",98.7943
"2012","Maize",85.13891
"2012","Sorghum",83.79803
"2012","Teff",98.86332
"2012","Wheat",98.6147
"2013","Barley",98.64109
"2013","Maize",99.88896
"2013","Sorghum",99.88896
"2013","Teff",97.5899
"2013","Wheat",99.34173
"2014","Barley",100
"2014","Maize",100
"2014","Sorghum",100
"2014","Teff",99.98289
"2014","Wheat",100
"2015","Barley",99.18001
"2015","Maize",96.34373
"2015","Sorghum",96.30968
"2015","Teff",99.88035
"2015","Wheat",99.795
"2016","Barley",96.85484
"2016","Maize",97.79526
"2016","Sorghum",98.61525
"2016","Teff",94.5896
"2016","Wheat",97.17002
"2017","Barley",97.07678
"2017","Maize",98.66623
"2017","Sorghum",98.66623
"2017","Teff",95.26364
"2017","Wheat",97.38435
"2018","Barley",99.83762
"2018","Maize",100
"2018","Sorghum",100
"2018","Teff",100
"2018","Wheat",100
