"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2014"
"Jan",12.5898,27.83174,29.95695,23.52619,21.28447,20.45247,16.08977,20.07375,14.92137,19.66876,19.73189,25.45212,15.66812,18.70499
"Feb",7.558036,16.4264,15.15767,13.58955,13.80549,11.75765,13.96864,18.46837,12.38459,15.2846,23.20044,15.90519,8.036487,16.14197
"Mar",9.231619,26.94737,19.3369,17.54264,14.01592,20.7639,15.51097,14.01099,4.794967,15.18434,23.33702,24.37849,14.39427,18.0316
"Apr",16.15795,23.19541,15.83752,17.41632,29.20535,21.19061,16.99546,15.02153,12.23237,13.01619,25.58441,19.19964,22.66841,17.48474
"May",18.23633,13.27971,8.774235,7.810751,9.469468,33.91602,12.40052,13.38552,15.16053,7.400352,38.74868,22.58415,11.20015,20.96611
"Jun",13.4583,15.77194,8.322318,21.5896,21.96974,27.20602,15.96995,40.18163,37.86762,14.18512,35.0541,43.64886,25.57449,25.86708
"Jul",59.20109,48.949,44.08775,63.7295,60.35815,72.49248,58.59204,73.67352,63.51584,65.61859,76.05941,72.04956,69.85464,69.80673
"Aug",80.85155,86.25345,90.20724,83.89684,91.71656,85.0281,78.66679,85.06911,82.33665,89.65819,88.00797,89.25651,81.33505,86.88795
"Sep",95.18662,83.57486,89.62781,88.47055,84.23652,89.00201,86.50066,82.44766,86.63639,86.04807,85.2581,81.86198,81.78401,88.49931
"Oct",76.76615,48.44006,46.4724,59.70047,56.1711,61.69505,64.74253,57.7473,57.07864,60.63615,56.5579,48.79677,55.21231,68.16263
"Nov",50.54192,25.56374,21.20054,29.68574,28.41118,31.27568,34.59268,28.26506,41.41801,27.77495,34.62211,37.0215,30.55539,38.43338
"Dec",32.55423,19.2422,27.25762,25.24808,23.80026,17.46364,25.60074,18.17439,23.72166,29.21104,31.70007,24.26806,18.89577,26.74786
