"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",26.67395,28.45661,25.82691,28.55204,26.63353,26.13333,28.2481,29.9606,29.70274,29.89057,30.18147,29.7663,26.4814,26.79229,26.36282,28.17555,30.66585,30.54146,31.24768,24.81874,27.34588,28.07739,28.27188,27.89746,29.70584,28.89939,30.01797,27.91976,25.55652,28.36456,26.51775
"Feb",22.99787,23.87573,21.71591,26.34574,26.75517,24.69197,22.05748,23.27025,24.49402,30.0556,25.59989,27.53433,22.42291,25.8747,24.46514,28.1385,26.93521,27.5766,27.8511,24.2448,25.26451,23.79503,24.84453,25.76521,26.68318,24.69489,23.80599,23.81353,21.62216,26.86347,24.84969
"Mar",33.17619,29.18919,27.17289,31.51452,34.7334,26.12868,35.73784,30.48655,35.22051,31.68178,34.87539,31.43659,29.72162,34.0783,27.95023,32.20088,32.46135,35.75319,37.63501,32.38102,30.69106,31.67069,32.16642,35.8842,34.28363,32.85987,32.13968,30.91158,27.38531,35.62603,30.15166
"Apr",34.07373,31.48892,28.58665,30.36914,37.35689,24.86756,37.90248,31.2836,31.6986,34.461,39.82207,31.83032,34.90549,41.66029,33.11437,33.16903,38.28914,39.81742,42.38226,34.19255,32.15063,33.61658,35.85575,40.89449,35.35801,32.88745,32.60107,39.06666,35.55711,37.40526,33.92564
"May",35.27778,35.73274,33.64484,39.01551,41.01162,29.63799,39.25834,34.73436,38.93697,35.97784,47.56725,36.67268,38.42839,46.47285,39.77436,35.63274,41.4868,42.04033,48.48359,37.06768,35.48019,38.23325,40.6284,47.1981,42.69819,41.89359,37.40818,50.14322,39.60838,39.29187,37.33247
"Jun",43.10888,50.19598,46.11439,32.88205,48.92761,36.76084,42.42039,38.4441,39.68163,42.1638,50.23081,44.75764,43.1554,44.62654,45.38821,41.25782,43.5215,49.45068,54.54631,44.1435,41.92435,43.09412,43.3219,47.47424,48.41853,50.68727,39.04438,51.98609,56.13642,45.81608,49.91274
"Jul",53.9614,57.55215,52.20867,44.23309,59.69001,34.09034,43.39838,42.97943,45.07978,58.77228,50.23876,35.74568,45.42868,52.41097,62.03565,44.25382,51.72944,56.65496,56.50083,60.60796,54.6059,58.28227,56.78555,54.80088,59.30943,59.52856,56.99211,51.0116,64.20048,60.66721,64.75632
"Aug",48.72594,66.7521,58.36692,58.95067,59.32304,57.49894,66.50083,66.20832,59.75727,45.34488,64.43923,53.66729,64.54681,59.03174,66.88058,52.92295,66.31409,59.12922,56.12113,64.93174,59.33098,65.79791,65.7717,60.37902,69.22981,66.36225,70.49782,54.39106,64.27241,67.54238,68.4081
"Sep",68.85633,60.42144,67.70294,66.9633,60.40879,68.00626,64.94408,64.72427,66.55337,63.69989,67.80865,67.95539,68.43385,67.47966,65.59964,74.00094,67.89941,67.96188,62.31156,62.65764,65.26449,61.87902,62.93457,69.28851,67.10471,63.29723,68.58903,69.08167,69.70591,71.87899,69.34518
"Oct",55.20736,55.23755,57.15958,58.06678,49.95397,59.76522,62.25511,59.19871,55.60076,55.48757,57.6813,57.31445,55.90421,55.32317,53.04612,64.00945,59.30293,62.46533,57.85936,57.90443,60.52453,55.88775,56.9626,59.92752,59.43226,55.32511,57.50233,59.1311,57.44644,59.61924,59.67287
"Nov",42.59471,36.37417,41.90863,39.74669,36.81102,41.52162,45.54264,41.53068,39.25965,44.13346,42.91172,38.98437,40.30913,38.18528,44.78094,44.39507,46.26768,47.2421,41.10744,39.37847,42.74794,40.6581,42.3784,45.30214,41.94019,41.04105,42.51172,40.88142,41.4921,41.09545,42.12873
"Dec",34.59573,28.9784,32.55631,31.91643,30.84014,32.76761,29.71471,33.27522,31.73977,35.61569,34.20417,32.93728,32.28539,30.58516,35.3007,35.44682,36.26554,35.69039,32.24602,30.56297,31.76759,32.17425,33.83266,35.71709,33.44228,32.20754,31.8575,32.6926,32.32651,31.27986,32.11754
