"","MIXEDET"
"1983",77.4462022304921
"1984",44.1654099299196
"1985",58.5422821863405
"1986",91.81904307354
"1987",75.404209417825
"1988",31.7359725383544
"1989",101.821930147526
"1990",28.8332893584337
"1991",58.2114768597338
"1992",70.2732034656851
"1993",46.9814341101823
"1994",1.97480076662939
"1995",59.7919220047822
"1996",97.8490214321168
"1997",71.42667932611
"1998",14.3836222312714
"1999",52.8274423609375
"2000",62.8
"2001",25.6
"2002",19.8
"2003",92.4
"2004",43.3
"2005",84.4
"2006",58.6
"2007",89.8
"2008",101.3
"2009",54.4
"2010",94.2
"2011",37
"2012",87.8
"2013",18.2
"2014",44.2
