"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,19.37,1.83,50.07,0,0,0,0
1984,16,12.45,18.91,42.56,0,0,0,0
1985,16,13.51,28.55,65.11,0,0,0,0
1986,16,25.36,50,75,0,0,0,0
1987,16,37.74,20.7,16.11,0,0,87.06,87.06
1988,16,0.97,10.08,60.08,100,0,0,100
1989,16,0.13,4.64,18.73,100,0,76.1,176.1
1990,16,0,0,43.19,100,0,0,100
1991,16,16.15,32.2,52.45,0,0,0,0
1992,16,0,0,42.98,100,0,0,100
1993,16,36.1,30.1,66.72,0,0,0,0
1994,16,37.71,50,75,0,0,0,0
1995,16,6.99,31.99,75,0,0,0,0
1996,16,35.64,39,75,0,0,0,0
1997,16,30.57,28.01,63.44,0,0,0,0
1998,16,34.99,42.99,63,0,0,0,0
1999,16,4.93,28.62,75,100,0,0,100
2000,16,19.42,21.03,39.52,0,0,0,0
2001,16,0,0,35.26,100,0,7.27,107.27
2002,16,4.42,0,21.39,100,0,65.03,165.03
2003,16,13.31,10.28,26.3,0,0,44.59,44.59
2004,16,0,0.75,29.56,100,0,31,131
2005,16,0,5.42,47.31,100,0,0,100
2006,16,28.67,50,62.17,0,0,0,0
2007,16,12.96,32,75,0,0,0,0
2008,16,5.98,6.58,31.91,0,0,21.22,21.22
2009,16,0,5.61,55.61,100,0,0,100
2010,16,0,25,75,100,0,0,100
2011,16,26.01,7.37,43.79,0,0,0,0
2012,16,11.09,33.02,61.17,0,0,0,0
2013,16,1.3,5.61,55.21,100,0,0,100
2014,16,10.07,6.3,51.21,0,0,0,0
2015,16,34.96,25.83,46.07,0,0,0,0
2016,16,13.09,18.3,62.28,0,0,0,0
2017,16,9.43,34.43,36.06,0,0,3.9,3.9
2018,16,0,17.99,67.99,100,0,0,100
2019,16,0,0,17.84,100,0,79.81,179.81
