Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0.431428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.431428571428571,0,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.858823529411764,0.858823529411764,0,14.6,14.6,0.858823529411764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.964516129032258,0.964516129032258,0.964516129032258,0,0,32.8,4.74936461388074,4.74936461388074,0,4.74936461388074,0,0,3.78484848484848,0,0,0,0,0,0,0,17.2,0,0,0,32.9,0,0,0,0,0,0,0,0,0,57.3,0,14.6
6,2.2,19.8,5.2735294117647,4.37647058823529,2.2,0,2.2,3.09705882352941,41.8,2.17647058823529,16.8,2.2,3.09705882352941,0,2.2,2.2,2.2,0,2.2,2.2,22,0,2.2,2.2,2.2,0,2.2,2.2,2.2,0,2.2,2.2,2.2,14.6,2.2,18.1,2.2
7,12,17.6,4.43823529411765,8.43823529411764,86,0,0,4.43823529411765,28.5,0,0,4,0,0,28.5,25,0,0,0,23.1,0,0,0,28.5,0,0,15.7,0,0,0,0,0,0,26,0,0,0
8,5.65999999999999,8.1,12.3628571428571,20.5,16.7028571428571,0,25.2,0,0,23.4,10,27,6.2,22,27.5,11.3,0,0,29.4,0,6.2,0,51.8,53.6,16.2,0,0,8.1,11.3,0,0,35.6,6.2,0,7.4,0,15.7
9,16.4,0,25.0285714285714,10.4,33.8,0,49.1,26.6,29.7,16.9,20.1,10.4285714285714,18,44,25.7,26.6,0,12,12.9,50.3,18.5,0,0,31.5,25.7,0,28.2,0,0,38.9,12.9,31.5,0,9.6,18.1,0,52.9
10,28.9228571428572,0,12.6323529411765,49.5,45.8,45.5,12.2,24.5,12.2,7.6,65.2,12.6323529411765,27.3552100840336,18.8,86.5,0,0,65.6,0,77.1,0,54.9,0,33.5,25,10.8,42.9,21.4,44.9,31.8,21.3,36.6,0,32.9,0,21.8,42.3
