"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,25.88,13.39,30.07,0,0,0,0
1984,16,0.24,2.41,11.06,100,0,90.19,190.19
1985,16,0.33,25.33,58,100,0,0,100
1986,16,21.74,32.87,36.13,0,0,0,0
1987,16,2.49,27.49,30.96,100,0,0,100
1988,16,3.64,17.94,67.94,100,0,0,100
1989,16,0.61,0,22.35,100,0,36.41,136.41
1990,16,0,3.49,42.59,100,0,0,100
1991,16,9.04,0,25,0,0,23.81,23.81
1992,16,0,0,50,100,0,0,100
1993,16,25.96,25,34.46,0,0,0,0
1994,16,0,25,75,100,0,0,100
1995,16,0,21.47,71.47,100,0,0,100
1996,16,39.71,4.74,29.74,0,0,1.26,1.26
1997,16,8.41,25,50,0,0,0,0
1998,16,23.68,41.43,71.58,0,0,0,0
1999,16,0,20.42,70.42,100,0,0,100
2000,16,15.43,25.3,59.4,0,0,0,0
2001,16,7.3,7.3,42.46,0,0,0,0
2002,16,3.96,0,20.41,100,0,45.66,145.66
2003,16,14.65,12.09,17.49,0,0,59.55,59.55
2004,16,2.35,4.34,38.95,100,0,0,100
2005,16,6.85,23.67,46.7,0,0,0,0
2006,16,3.7,5.73,25.61,100,0,20.9,120.9
2007,16,3.21,25,75,100,0,0,100
2008,16,1.85,5.84,49.73,100,0,0,100
2009,16,0.74,6.92,47.41,100,0,0,100
2010,16,0,5.3,50.25,100,0,0,100
2011,16,25,4.1,41.03,0,0,0,0
2012,16,25,42.34,46.08,0,0,0,0
2013,16,6.24,16.47,66.47,0,0,0,0
2014,16,0,0,49.63,100,0,0,100
2015,16,9.9,13.01,20.07,0,0,47.26,47.26
2016,16,13.52,18.25,54.73,0,0,0,0
2017,16,0,25,37.91,100,0,0,100
2018,16,0,25,75,100,0,0,100
2019,16,0,0,37.69,100,0,0,100
