"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,15.1,1.98,32.7,0,0,36.48,36.48
1984,16,11.09,15.69,39.05,0,0,4.76,4.76
1985,16,10.13,25.69,73.53,0,0,0,0
1986,16,25,50,75,0,0,0,0
1987,16,36.23,29.53,33.77,0,0,31.16,31.16
1988,16,1.01,14,64,100,0,0,100
1989,16,25.47,0,25,0,0,75,75
1990,16,6.17,6.17,43.24,0,0,0,0
1991,16,14.22,30.88,62.16,0,0,0,0
1992,16,0,0,25,100,0,75,175
1993,16,27.54,29.21,75,0,0,0,0
1994,16,35.66,42.64,55.79,0,0,0,0
1995,16,2,13.27,63.27,100,0,0,100
1996,16,31.09,27.65,66.11,0,0,0,0
1997,16,49.45,48.35,63.4,0,0,0,0
1998,16,25.09,37.56,75,0,0,0,0
1999,16,5.31,30.31,75,0,0,0,0
2000,16,20.9,35.9,46.98,0,0,0,0
2001,16,25,25,34.68,0,0,26.62,26.62
2002,16,0.85,0,33.13,100,0,34.34,134.34
2003,16,9.69,21.26,46.19,0,0,0,0
2004,16,0,0.89,29.13,100,0,54.35,154.35
2005,16,12.22,35.94,71.44,0,0,0,0
2006,16,25,50,53.01,0,0,0,0
2007,16,5.7,30.7,75,0,0,0,0
2008,16,5.17,6.63,56.63,0,0,0,0
2009,16,0,25,75,100,0,0,100
2010,16,6.02,3.88,51.9,0,0,0,0
2011,16,5.46,30.46,75,0,0,0,0
2012,16,11.81,36.81,75,0,0,0,0
2013,16,1,19.74,69.47,100,0,0,100
2014,16,8.42,5.27,46.88,0,0,0,0
2015,16,23.41,23.68,41.87,0,0,0,0
2016,16,9.07,27.51,75,0,0,0,0
2017,16,0.73,25.73,53.23,100,0,0,100
2018,16,16.17,15.62,48.3,0,0,0,0
2019,16,30.46,14.18,38.21,0,0,8.93,8.93
