"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,28.67,5,52.56,0,0,10.59,10.59
1984,16,29.5,39.45,60.88,0,0,0,0
1985,16,4.97,25.25,75,100,0,0,100
1986,16,25,50,75,0,0,0,0
1987,16,36.25,30.41,40.15,0,0,64.55,64.55
1988,16,4.53,25,75,100,0,0,100
1989,16,3.16,3.69,53.69,100,0,5.7,105.7
1990,16,0,4.4,54.4,100,0,2.62,102.62
1991,16,3.76,25,66.66,100,0,0,100
1992,16,0,7.51,57.51,100,0,0,100
1993,16,25.67,25,75,0,0,0,0
1994,16,25,25,75,0,0,0,0
1995,16,6.44,31.44,75,0,0,0,0
1996,16,28.47,17.56,67.56,0,0,0,0
1997,16,49.07,44.2,50,0,0,21.74,21.74
1998,16,44.68,50,75,0,0,0,0
1999,16,3.93,25,75,100,0,0,100
2000,16,27.4,41.54,66.54,0,0,0,0
2001,16,0,0,49.5,100,0,23.92,123.92
2002,16,4.69,23.3,56.75,100,0,0,100
2003,16,29.72,50,68.22,0,0,0,0
2004,16,10.67,10.67,50,0,0,21.74,21.74
2005,16,11.37,36.09,57.97,0,0,0,0
2006,16,17.42,24.09,56.67,0,0,0,0
2007,16,15.14,32.93,75,0,0,0,0
2008,16,0,19.36,69.36,100,0,0,100
2009,16,11.38,25,75,0,0,0,0
2010,16,8.62,3.4,53.4,0,0,6.94,6.94
2011,16,25,25,58.51,0,0,0,0
2012,16,25,50,60.99,0,0,0,0
2013,16,4.27,19.53,65.26,100,0,0,100
2014,16,0,25,75,100,0,0,100
2015,16,0,16.66,60.4,100,0,0,100
2016,16,12.43,29.92,75,0,0,0,0
2017,16,0,25,63.78,100,0,0,100
2018,16,4.86,25,75,100,0,0,100
2019,16,29.74,42.78,48.68,0,0,27.47,27.47
