"","MIXEDET"
"1983",19.4382701627912
"1984",-10.842359727879
"1985",7.35094435942032
"1986",14.2878482718559
"1987",31.0651287202595
"1988",25.8167797715888
"1989",30.5508096723927
"1990",2.69904552642836
"1991",34.5377013695009
"1992",20.8172075644753
"1993",14.6864647234546
"1994",18.9330408789469
"1995",9.27656036889119
"1996",27.4929726562832
"1997",11.4299456652895
"1998",14.0479592995652
"1999",12.8939632582238
"2000",3.3
"2001",6.7
"2002",2.2
"2003",22.6
"2004",1.8
"2005",26.2
"2006",20.7
"2007",46.9
"2008",30.4
"2009",24.3
"2010",39.5
"2011",13.8
"2012",25.7
"2013",2.2
"2014",17.7
