"","MIXEDET"
"1983",7.96656736279257
"1984",7.57700352942977
"1985",23.2860078363874
"1986",26.9462892975504
"1987",-20.3557633819309
"1988",35.0136400503988
"1989",38.9249899173532
"1990",0.652579891033852
"1991",15.6098331668005
"1992",17.7147044413923
"1993",30.6862032586112
"1994",43.1546168819539
"1995",39.4245344840008
"1996",20.7103912041225
"1997",5.42936021340813
"1998",59.6280489300903
"1999",50.9184220754459
"2000",15.6
"2001",4.8
"2002",1.4
"2003",39.1
"2004",3.4
"2005",49.4
"2006",54.9
"2007",67.1
"2008",46.3
"2009",38.8
"2010",57.8
"2011",18.5
"2012",16.9
"2013",37.5
"2014",30.2
