"time","crop","value"
"1983","Barley",98
"1984","Barley",100
"1985","Barley",96
"1986","Barley",91
"1987","Barley",100
"1988","Barley",94
"1989","Barley",87
"1990","Barley",99
"1991","Barley",94
"1992","Barley",89
"1993","Barley",100
"1994","Barley",97
"1995","Barley",93
"1996","Barley",97
"1997","Barley",100
"1998","Barley",97
"1999","Barley",94
"2000","Barley",100
"2001","Barley",95
"2002","Barley",99
"2003","Barley",100
"2004","Barley",92
"2005","Barley",100
"2006","Barley",97
"2007","Barley",97
"2008","Barley",100
"2009","Barley",93
"2010","Barley",97
"2011","Barley",91
"2012","Barley",100
"2013","Barley",100
"2014","Barley",97
"2015","Barley",100
"2016","Barley",97
"2017","Barley",97
"2018","Barley",100
"1983","Maize",91
"1984","Maize",100
"1985","Maize",92
"1986","Maize",84
"1987","Maize",100
"1988","Maize",90
"1989","Maize",83
"1990","Maize",60
"1991","Maize",88
"1992","Maize",60
"1993","Maize",99
"1994","Maize",91
"1995","Maize",87
"1996","Maize",97
"1997","Maize",100
"1998","Maize",100
"1999","Maize",93
"2000","Maize",85
"2001","Maize",52
"2002","Maize",56
"2003","Maize",67
"2004","Maize",60
"2005","Maize",85
"2006","Maize",93
"2007","Maize",72
"2008","Maize",93
"2009","Maize",75
"2010","Maize",96
"2011","Maize",87
"2012","Maize",83
"2013","Maize",91
"2014","Maize",100
"2015","Maize",79
"2016","Maize",91
"2017","Maize",100
"2018","Maize",99
"1983","Sorghum",87
"1984","Sorghum",96
"1985","Sorghum",85
"1986","Sorghum",75
"1987","Sorghum",100
"1988","Sorghum",83
"1989","Sorghum",79
"1990","Sorghum",65
"1991","Sorghum",86
"1992","Sorghum",56
"1993","Sorghum",99
"1994","Sorghum",93
"1995","Sorghum",92
"1996","Sorghum",93
"1997","Sorghum",97
"1998","Sorghum",100
"1999","Sorghum",89
"2000","Sorghum",89
"2001","Sorghum",49
"2002","Sorghum",52
"2003","Sorghum",63
"2004","Sorghum",58
"2005","Sorghum",83
"2006","Sorghum",92
"2007","Sorghum",77
"2008","Sorghum",85
"2009","Sorghum",69
"2010","Sorghum",96
"2011","Sorghum",84
"2012","Sorghum",76
"2013","Sorghum",88
"2014","Sorghum",97
"2015","Sorghum",84
"2016","Sorghum",92
"2017","Sorghum",92
"2018","Sorghum",91
"1983","Teff",61
"1984","Teff",69
"1985","Teff",78
"1986","Teff",94
"1987","Teff",95
"1988","Teff",93
"1989","Teff",72
"1990","Teff",68
"1991","Teff",63
"1992","Teff",68
"1993","Teff",88
"1994","Teff",74
"1995","Teff",66
"1996","Teff",85
"1997","Teff",91
"1998","Teff",92
"1999","Teff",81
"2000","Teff",86
"2001","Teff",58
"2002","Teff",63
"2003","Teff",77
"2004","Teff",67
"2005","Teff",87
"2006","Teff",78
"2007","Teff",86
"2008","Teff",79
"2009","Teff",77
"2010","Teff",83
"2011","Teff",75
"2012","Teff",78
"2013","Teff",85
"2014","Teff",87
"2015","Teff",96
"2016","Teff",90
"2017","Teff",70
"2018","Teff",92
"1983","Wheat",84
"1984","Wheat",95
"1985","Wheat",100
"1986","Wheat",94
"1987","Wheat",100
"1988","Wheat",97
"1989","Wheat",100
"1990","Wheat",88
"1991","Wheat",89
"1992","Wheat",90
"1993","Wheat",100
"1994","Wheat",97
"1995","Wheat",94
"1996","Wheat",97
"1997","Wheat",100
"1998","Wheat",100
"1999","Wheat",97
"2000","Wheat",100
"2001","Wheat",81
"2002","Wheat",87
"2003","Wheat",100
"2004","Wheat",88
"2005","Wheat",100
"2006","Wheat",100
"2007","Wheat",99
"2008","Wheat",100
"2009","Wheat",100
"2010","Wheat",100
"2011","Wheat",100
"2012","Wheat",100
"2013","Wheat",99
"2014","Wheat",100
"2015","Wheat",95
"2016","Wheat",97
"2017","Wheat",97
"2018","Wheat",100
