"","MIXEDET"
"1983",37.8766849448438
"1984",7.56126653933086
"1985",37.2762926088318
"1986",16.4773302730598
"1987",36.9986334231717
"1988",36.065560783862
"1989",29.114965393241
"1990",2.60767345130554
"1991",32.2832375319558
"1992",40.0709971916928
"1993",24.751104856429
"1994",2.67840216269924
"1995",31.7129835847199
"1996",37.2308029422259
"1997",25.0306940866906
"1998",22.6404080803125
"1999",45.2422399247709
"2000",15.9
"2001",21
"2002",8.6
"2003",42.4
"2004",20.8
"2005",36.7
"2006",19.9
"2007",62.3
"2008",44.2
"2009",27.5
"2010",48.5
"2011",14.7
"2012",43
"2013",7.2
"2014",23
