"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,26.3,1.36,38.7,0,0,28.19,28.19
1984,16,9.69,30.47,54.4,0,0,0,0
1985,16,7.73,27.81,65.75,0,0,0,0
1986,16,26.86,50,75,0,0,0,0
1987,16,26.14,29.8,32.95,0,0,45.61,45.61
1988,16,0.2,25,75,100,0,0,100
1989,16,0.54,0,32.53,100,0,46.89,146.89
1990,16,0,0,47.51,100,0,1.48,101.48
1991,16,12.43,19.44,50.96,0,0,0,0
1992,16,0,0,50,100,0,0,100
1993,16,32.31,35.38,60.38,0,0,0,0
1994,16,7.82,26.46,75,0,0,0,0
1995,16,1.66,26.66,75,100,0,0,100
1996,16,35.14,7.62,54.79,0,0,0,0
1997,16,15.24,27.41,75,0,0,0,0
1998,16,31.47,50,75,0,0,0,0
1999,16,0,25,75,100,0,0,100
2000,16,25,32.36,57.36,0,0,0,0
2001,16,0,0,50,100,0,0,100
2002,16,4.03,0,18.21,100,0,90.27,190.27
2003,16,14.2,11.95,25.45,0,0,68.34,68.34
2004,16,2.42,3.4,49.56,100,0,0,100
2005,16,4.62,11.27,47.3,100,0,2.12,102.12
2006,16,28.67,26.51,29.01,0,0,57.55,57.55
2007,16,2.97,25,75,100,0,0,100
2008,16,3.36,9.5,56.22,100,0,0,100
2009,16,1.02,4.8,53.78,100,0,0,100
2010,16,0,25,75,100,0,0,100
2011,16,25,25,68.62,0,0,0,0
2012,16,9.07,27.76,48.29,0,0,0,0
2013,16,0,19.53,69.53,100,0,0,100
2014,16,3.1,9.97,57.14,100,0,0,100
2015,16,21.1,14.56,61.61,0,0,0,0
2016,16,11.62,13.31,59.43,0,0,0,0
2017,16,3.76,28.76,61.66,100,0,0,100
2018,16,9.37,25,63,0,0,0,0
2019,16,0,0,27.18,100,0,63.08,163.08
