"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,24.13,25.44,70.99,4.37,0,12.53,16.9
1984,16,56.28,50,75,0,0,0,0
1985,16,3.02,28.02,75,100,0,0,100
1986,16,61.59,50,75,0,0,0,0
1987,16,40.23,40.23,66.86,0,0,25.43,25.43
1988,16,25.42,33.7,75,0,0,0,0
1989,16,18.08,37.33,75,34.6,0,0,34.6
1990,16,33.19,50,75,0,0,0,0
1991,16,43.02,50,75,0,0,0,0
1992,16,23.99,23.37,58.91,5.03,0,50.28,55.32
1993,16,57.03,50,75,0,0,0,0
1994,16,57.12,50,75,0,0,0,0
1995,16,25,50,75,0,0,0,0
1996,16,50,25,75,0,0,0,0
1997,16,74.48,50,75,0,0,0,0
1998,16,43.24,50,75,0,0,0,0
1999,16,33.31,50,75,0,0,0,0
2000,16,49.37,50,75,0,0,0,0
2001,16,75,50,75,0,0,0,0
2002,16,34.9,50,73.42,0,0,4.95,4.95
2003,16,39.98,50,75,0,0,0,0
2004,16,25,44.35,69.35,0,0,17.67,17.67
2005,16,25,50,75,0,0,0,0
2006,16,31.79,44.03,73.44,0,0,4.87,4.87
2007,16,38.38,42.17,75,0,0,0,0
2008,16,75,50,75,0,0,0,0
2009,16,50,50,75,0,0,0,0
2010,16,44.38,50,75,0,0,0,0
2011,16,45.29,50,75,0,0,0,0
2012,16,25,50,75,0,0,0,0
2013,16,36.58,50,75,0,0,0,0
2014,16,0,25,75,100,0,0,100
2015,16,53.57,28.2,53.2,0,0,68.14,68.14
2016,16,62.9,50,75,0,0,0,0
2017,16,3.12,25,75,100,0,0,100
2018,16,50,25,75,0,0,0,0
2019,16,63.75,50,75,0,0,0,0
