"","MIXEDET"
"1983",17.5786311084397
"1984",111.289015451367
"1985",84.2296189279788
"1986",98.7319956558223
"1987",61.1371150155675
"1988",65.4502801869631
"1989",60.6407970968649
"1990",62.8759618318828
"1991",30.0013037218714
"1992",43.7723766536027
"1993",69.167705657241
"1994",121.405090543639
"1995",74.6756358956521
"1996",71.2794145804351
"1997",3.65069810628856
"1998",55.6571129277859
"1999",44.4306656768274
"2000",68.4
"2001",21.5
"2002",13.8
"2003",67.8
"2004",55.6
"2005",94
"2006",72.3
"2007",106.1
"2008",89.4
"2009",66.7
"2010",87.4
"2011",75.6
"2012",82.9
"2013",73.5
"2014",76.4
