Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.0212121212121212,0.0212121212121212,0,0.0212121212121212,0,0,0.0212121212121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0
6,2.45555555555556,22.1,2.8967320261438,2.45555555555556,2.45555555555556,0,2.45555555555556,2.8967320261438,2.45555555555556,0,2.45555555555556,2.45555555555556,2.8967320261438,0,2.45555555555556,2.45555555555556,2.45555555555556,0,2.45555555555556,2.45555555555556,2.45555555555556,0,2.45555555555556,2.45555555555556,2.45555555555556,0,17.4555555555556,2.45555555555556,2.45555555555556,0,2.45555555555556,2.45555555555556,2.45555555555556,0,2.45555555555556,2.45555555555556,2.45555555555556
7,0,18.3,4.42647058823529,7.13789915966386,25.5,0,23.4,4.42647058823529,15.9,0,0,2.71142857142857,0,41.1,37.5,0,0,0,0,18.2,0,0,0,34,0,0,0,0,0,0,0,31.5,0,0,0,0,0
8,7.11714285714286,21.1,15.0971428571429,33.4,7.97999999999999,0,0,0,30.5,16.2,42.1,0,16.2,0,46.7,0,0,0,21.1,0,0,0,60.8,58.6,0,0,0,0,27,0,0,58.9,28.5,25.4,0,26.9,15
9,0,0,35.0971428571429,0,0,0,28.9,24.7,0,0,20.4,8.19714285714286,0,87.3,0,14,0,16.2,51.6,78.6,0,0,16.2,16.2,25.8,0,31.1,15.1,0,37.6,25.2,0,41.1,0,0,0,55.6
10,9.73428571428571,0,16.7029411764706,32.7,32,33,5.5,17.8,41.9,13.2,39.5,9.20294117647058,18.9372268907563,25.6,52.4,0,0,90.7,0,26.7,0,32.8,0,19.8,15.5,10.8,14.3,24.8,12.5,7.8,8.9,17.6,0,19.6,0,31.5,19.2
11,45.8,22.2,9.4,28.5,28.1272727272727,44.5,24.4,0,4.8,9.5,22.9189393939394,15.4,53.8,33.6,8.4,28.0272727272727,19.2,54.1,0,4.8,26.6,38.3,28.0272727272727,21.3,19.3,16.4,10.1,46.4,0,47.3,40.9,9.9,0,26.8,15.2,8.4,35.6
