"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,12.48,23.3,68.32,62.62,0,17.14,79.76
1984,16,54.72,35.54,60.54,0,0,37.08,37.08
1985,16,3.04,28.04,75,100,0,0,100
1986,16,50,50,75,0,0,0,0
1987,16,39.78,39.78,59.92,0,0,38.68,38.68
1988,16,26.01,33.14,75,0,0,0,0
1989,16,24.73,47.5,75,1.36,0,0,1.36
1990,16,33.56,50,75,0,0,0,0
1991,16,50,50,75,0,0,0,0
1992,16,20.63,36.03,75,21.86,0,0,21.86
1993,16,54.59,50,75,0,0,0,0
1994,16,53.7,50,75,0,0,0,0
1995,16,25,50,75,0,0,0,0
1996,16,50,25,75,0,0,0,0
1997,16,62.57,37.57,75,0,0,0,0
1998,16,40.32,50,75,0,0,0,0
1999,16,33.57,50,75,0,0,0,0
2000,16,50.66,50,75,0,0,0,0
2001,16,57.61,48.61,75,0,0,0,0
2002,16,33.39,45.23,69.27,0,0,14.69,14.69
2003,16,36.9,49.86,75,0,0,0,0
2004,16,25,40.22,65.22,0,0,25.07,25.07
2005,16,25,50,75,0,0,0,0
2006,16,32.08,43.01,72.06,0,0,7.54,7.54
2007,16,39.61,41.9,75,0,0,0,0
2008,16,75,50,75,0,0,0,0
2009,16,50,50,75,0,0,0,0
2010,16,49.33,35.33,60.33,0,0,37.62,37.62
2011,16,53.16,50,75,0,0,0,0
2012,16,29.15,50,75,0,0,0,0
2013,16,46.77,50,75,0,0,0,0
2014,16,0,25,75,100,0,0,100
2015,16,53.81,37.33,45.11,0,0,76.64,76.64
2016,16,59.28,50,75,0,0,0,0
2017,16,3.21,25,75,100,0,0,100
2018,16,50,25,75,0,0,0,0
2019,16,53.75,50,75,0,0,0,0
