Time,NDVI
Jul 1981,0.2407742
Jul 1982,0.06414516
Jul 1983,0.2606613
Jul 1984,0.4200968
Jul 1985,0.1269839
Jul 1986,0.5417581
Jul 1987,0.2811129
Jul 1988,0.2265
Jul 1989,0.2694516
Jul 1990,0.3172742
Jul 1991,0.2065484
Jul 1992,0.1787419
Jul 1993,0.2335323
Jul 1994,0.1744516
Jul 1995,0.2219032
Jul 1996,0.3998226
Jul 1997,0.3673065
Jul 1998,0.2771452
Jul 1999,0.322129
Jul 2000,0.246629
Jul 2001,0.3348871
Jul 2002,0.1807419
Jul 2003,0.2650807
Jul 2004,0.2994355
Jul 2005,0.2631613
Jul 2006,0.2677581
