"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,25.84,11.53,44.39,0,0,0,0
1984,16,0.04,25.04,42.25,100,0,0,100
1985,16,0,25,65.31,100,0,0,100
1986,16,25,35.66,35.66,0,0,1.41,1.41
1987,16,2.6,27.6,32.21,100,0,15.79,115.79
1988,16,3.14,11.79,61.79,100,0,0,100
1989,16,0.43,0,25,100,0,45.83,145.83
1990,16,0,3.55,42.72,100,0,0,100
1991,16,8.77,0,25,0,0,45.83,45.83
1992,16,0,0,50,100,0,0,100
1993,16,25.93,25,35.82,0,0,0.74,0.74
1994,16,4.34,29.34,75,100,0,0,100
1995,16,0,25,75,100,0,0,100
1996,16,28.77,4.74,29.74,0,0,26.09,26.09
1997,16,8.14,25,50,0,0,0,0
1998,16,19.12,39.52,70.39,0,0,0,0
1999,16,0,21.66,71.66,100,0,0,100
2000,16,29.82,32.16,56.45,0,0,0,0
2001,16,0,0,47.37,100,0,0,100
2002,16,3.6,0,15.61,100,0,84.96,184.96
2003,16,14.16,11.86,18.26,0,0,73.91,73.91
2004,16,2.37,2.37,40.24,100,0,0,100
2005,16,0,13.24,46.7,100,0,0,100
2006,16,7.24,3.63,25,0,0,45.83,45.83
2007,16,3.14,25,75,100,0,0,100
2008,16,1.83,8.93,51.63,100,0,0,100
2009,16,0,5.05,44.37,100,0,0,100
2010,16,0,25,75,100,0,0,100
2011,16,25,10.35,48.53,0,0,0,0
2012,16,8.46,20.56,40.44,0,0,0,0
2013,16,5.89,14.25,64.25,0,0,0,0
2014,16,0,1.08,43.53,100,0,0,100
2015,16,10.73,12.34,52.61,0,0,0,0
2016,16,18.46,16.1,54.36,0,0,0,0
2017,16,0,25,53.01,100,0,0,100
2018,16,4.61,25,71.83,100,0,0,100
2019,16,0,0,30.92,100,0,21.18,121.18
