Time,HainET30Y Evapotranspiration
Jul 1983,21.65489
Jul 1984,7.945094
Jul 1985,19.71899
Jul 1986,22.25355
Jul 1987,22.5594
Jul 1988,22.0363
Jul 1989,22.11146
Jul 1990,18.74186
Jul 1991,27.91902
Jul 1992,26.26851
Jul 1993,19.94377
Jul 1994,18.77647
Jul 1995,17.70613
Jul 1996,27.07148
Jul 1997,20.09848
Jul 1998,17.83782
Jul 1999,13.7335
Jul 2000,29.51526
Jul 2001,27.31497
Jul 2002,22.18278
Jul 2003,25.82899
Jul 2004,21.94917
Jul 2005,21.75117
Jul 2006,22.79645
Jul 2007,20.09318
Jul 2008,22.69886
Jul 2009,21.74342
Jul 2010,26.61121
Jul 2011,14.17341
Jul 2012,28.91453
Jul 2013,15.69409
