"","MIXEDET"
"1983",32.2700387745066
"1984",12.1255141879392
"1985",34.0431253786293
"1986",21.407753305358
"1987",29.7128830499502
"1988",15.1748792336792
"1989",48.4975502526168
"1990",12.8321139378937
"1991",37.8336370257993
"1992",40.0496786940501
"1993",35.3143828630547
"1994",7.86863115416184
"1995",18.8213605026397
"1996",54.629894097333
"1997",24.6755299889475
"1998",18.1329561683497
"1999",34.5388449265223
"2000",15
"2001",18
"2002",4.5
"2003",41.9
"2004",13.2
"2005",33.6
"2006",21.9
"2007",63.4
"2008",43.8
"2009",26.7
"2010",50.2
"2011",15.7
"2012",46.8
"2013",5.7
"2014",17.8
